influencer,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63
natasha wilona,-0.09359725,-0.057881355,0.007818904,-0.027656768,0.122836754,0.05368714,-0.014573643,-0.072679155,0.10171878,-0.10804637,-0.08617754,-0.04624571,0.044750653,0.042939223,-0.10961704,0.09041561,0.10867144,-0.039155923,-0.015494365,-0.0850694,-0.07270606,0.09655523,-0.09826453,0.03850917,-0.056807514,0.08997412,-0.02067164,0.053632975,-0.028618012,-0.0031584094,0.04968943,-0.0757114,0.10500944,-0.14935017,-0.027842505,-0.11575635,0.05271741,0.081358224,0.036461305,0.017334066,0.07802536,0.047441944,0.034399264,-0.0354563,0.046781845,-0.14988151,0.012726657,-0.03852024,-0.109472126,-0.15563177,0.026881415,-0.09800285,0.062243927,0.018213827,0.09204654,-0.040458605,0.03214606,-0.04027468,-0.05413376,-0.07158132,-0.035990592,-0.04591317,-0.012341396,0.036453847
ariel noah,-0.121499166,-0.03494674,0.07123407,-0.027478449,0.048262093,0.015507017,0.0014363608,-0.026297145,0.06260871,-0.10383904,-0.0739059,-0.046900194,0.0062313667,-0.0026071924,-0.091545045,0.06697439,0.07710853,-0.024594717,-0.036376014,-0.026871106,-0.054016992,0.096530735,-0.07801466,0.010311652,-0.040497765,0.08898257,0.0031109885,0.054334097,-0.00934786,-0.06360617,0.0887499,-0.05467339,0.12635946,-0.08820192,-0.023564864,-0.07030553,0.037375912,0.051274598,-0.018592427,0.011043429,0.045671985,0.044862848,-0.0045130597,-0.02541544,0.016465738,-0.13704228,0.01179112,-0.038736932,-0.08918536,-0.13153732,0.024619194,-0.047328018,0.045313768,0.029320925,0.10140371,-0.029442415,0.06470808,0.010327581,-0.06858279,-0.089401275,-0.083043694,-0.034095094,-0.05250614,0.029417835
cinta laura,-0.09981109,-0.06283015,-0.029471198,-0.04404123,0.19468424,0.049053267,-0.001425524,-0.10737632,0.114375144,-0.13920146,-0.099834114,-0.04990018,0.04938525,0.08982308,-0.12483926,0.073262095,0.1175732,-0.056754403,-0.0008432064,-0.111124426,-0.10918571,0.1490592,-0.1464209,0.05061365,-0.07449928,0.08060862,-0.021598373,0.03910584,-0.039319813,0.03911245,0.05797337,-0.1095848,0.08446416,-0.2184465,-0.049257185,-0.14179692,0.061266497,0.09239738,0.032148574,-0.016875273,0.10383536,0.054079115,0.06433976,-0.031745136,0.07023387,-0.11485522,0.009095721,-0.066510096,-0.13607514,-0.17488605,0.07806179,-0.147508,0.09676075,-0.014758132,0.10294487,-0.05266615,0.060331214,-0.06822063,-0.05604159,-0.06964423,0.0071286196,-0.038782492,-0.0013270979,0.04900883
felicya angelista,-0.15230434,0.24835084,-0.28184158,-0.24096325,0.035481147,-0.30800495,0.06961833,0.12803757,-0.33357376,-0.41107547,-0.13073452,-0.11257478,-0.6347109,0.1221503,0.09362655,-0.2788052,-0.14874703,0.11621994,-0.094745204,0.31675753,-0.078349896,0.48523763,-0.0886465,-0.39523187,0.31984738,-0.41252714,0.42664886,-0.15455455,-0.032635126,-0.36397272,0.21511763,-0.022497866,-0.4608113,0.43883687,-0.35754824,0.26372528,-0.18007123,-0.043339293,-0.44716734,-0.7510904,0.118724175,0.046485227,-0.49135846,-0.021102237,-0.111682974,0.53349537,0.0022378247,-0.068053834,0.21832633,0.2847442,-0.10262458,-0.03193932,-0.3441748,-0.08181491,0.013186283,-0.12143438,0.12381773,-0.051581267,-0.10889641,0.15996346,0.24813515,-0.18679202,-0.24187052,0.0147008635
indra bekti,-0.06715025,-0.06049382,-0.04264289,-0.009646714,0.16061369,0.06448734,-0.03103877,-0.14147365,0.10584177,-0.109891005,-0.07330364,-0.04251653,0.050422274,0.041594215,-0.10966784,0.095569156,0.109603085,-0.06699887,0.014259278,-0.10192944,-0.094565675,0.07465525,-0.1020866,0.038747806,-0.041053765,0.059700735,-0.041051593,0.03645499,-0.05365514,0.028082073,0.031274717,-0.07565842,0.078305975,-0.1625691,-0.030785767,-0.10542917,0.068629816,0.12915556,0.070759006,-0.021243297,0.08117917,0.036506586,0.06436846,-0.04482983,0.0342265,-0.14669368,0.008048346,-0.037673496,-0.079715304,-0.12466586,0.0040033804,-0.119652614,0.050458856,0.02773342,0.04276623,-0.04214914,-0.01596865,-0.101193756,-0.024882969,-0.07167505,0.013912639,-0.050682902,0.0019231801,0.038468137
rizky febian,-0.12760934,-0.059242263,0.004744387,-0.043500282,0.12251854,0.03483426,0.0057028513,-0.049246334,0.088247515,-0.124812126,-0.10398005,-0.05241684,-0.005791514,0.06364905,-0.11210494,0.06514554,0.09730874,-0.03279934,-0.026269177,-0.06875746,-0.07851416,0.1583693,-0.11210552,0.022114411,-0.056136027,0.07770053,0.0061352747,0.064525984,-0.03186634,-0.020381223,0.058072083,-0.08257592,0.09630319,-0.15495801,-0.051403433,-0.10557841,0.031448297,0.048165083,0.0116578415,0.005719093,0.074587725,0.044915736,0.0056931674,-0.025628053,0.05176319,-0.13197401,-0.011185911,-0.039417155,-0.115511,-0.15134877,0.055563316,-0.10409148,0.069341116,-0.002999591,0.10213752,-0.04016668,0.08775045,-0.020933364,-0.06485756,-0.075622305,-0.03671767,-0.04972938,-0.015372943,0.039943922
tasya kamila,-0.10839836,-0.04739055,-0.042095628,-0.049541146,0.13428506,0.031101529,0.012945123,-0.06508988,0.10279343,-0.13715087,-0.11413273,-0.042930122,-0.0324573,0.078073494,-0.11580782,0.058809802,0.10185315,-0.038290344,-0.0017038742,-0.07562647,-0.078908235,0.16277137,-0.09802782,0.021377321,-0.01744226,0.052517403,0.024406787,0.07991243,-0.052227546,-0.01798701,0.027757542,-0.08436154,0.061830215,-0.17870402,-0.06808923,-0.12687454,0.039168786,0.054143213,0.029935755,-0.03293025,0.079995155,0.056823082,0.021885311,-0.01356908,0.04149437,-0.11124685,-0.013238613,-0.04248567,-0.11578013,-0.11298654,0.017495524,-0.12349124,0.04437121,0.0013152867,0.0833381,-0.036217354,0.046512045,-0.04673278,-0.044543013,-0.05904282,-0.010954729,-0.067278735,-0.016425766,0.05625139
alexa belvana,0.0024705045,-0.0021476708,-0.32402682,0.5696955,-0.38928536,0.12179803,-0.49028978,-0.6759529,-0.12708068,0.16289535,0.27284274,0.31627488,-0.8222905,-0.5916376,0.06644655,0.079362795,-0.4483034,-0.23825239,0.32377335,0.36936212,0.15973654,-0.6196015,0.4406709,-0.36160755,0.33297533,-0.4880678,0.0073538832,0.5583297,0.06559104,-0.4177554,-0.32826585,0.72332656,0.17767346,0.95716906,-0.06510582,0.6293656,-0.25329843,0.27996776,0.31731486,-0.030947698,-0.33822614,-0.24130727,0.102122754,-0.2793446,-0.35885498,-0.69482946,-0.25687796,0.52052623,0.61499894,0.9381817,-0.74480593,0.38180023,-0.6066202,0.5568725,-0.5845649,-0.12737212,-0.41514128,-0.560429,0.5948378,-0.37077183,0.48778087,-0.30700153,0.1835559,-0.062001616
ayla dimitri,-0.13850331,-0.06770891,0.032630026,-0.041968316,0.13868052,0.041284215,0.000823957,-0.044684075,0.08957453,-0.12461166,-0.09883048,-0.057169884,0.024693064,0.069530085,-0.11450243,0.07062881,0.10081859,-0.03491193,-0.037745573,-0.07757741,-0.08628097,0.15871286,-0.14136606,0.03727125,-0.09847395,0.10006008,-0.010249071,0.054031085,-0.009150687,-0.0063631777,0.07838519,-0.08976353,0.12182641,-0.1644164,-0.040753327,-0.10983891,0.030629884,0.048967294,-0.0026868694,0.03481161,0.0840533,0.04573053,0.015041985,-0.030746002,0.07193744,-0.1407378,0.0017993366,-0.050834615,-0.13640809,-0.19499084,0.1015435,-0.104716346,0.10453362,-0.014787158,0.13325664,-0.051341534,0.12269142,-0.009285266,-0.078595854,-0.08801581,-0.04335971,-0.033449814,-0.011217459,0.033155773
valerie pola,-0.07736254,-0.06788802,-0.0130553,0.019891083,0.14411458,0.079502724,-0.059053063,-0.13533083,0.09396962,-0.09131723,-0.05146231,-0.04143583,0.042192753,0.021138351,-0.096867785,0.11238772,0.09651166,-0.075474545,0.0043599224,-0.090761036,-0.08676338,0.03472091,-0.11953132,0.046235036,-0.08120899,0.06360459,-0.058034495,0.04458999,-0.017353967,0.013997386,0.02660176,-0.045555465,0.10847123,-0.123306714,-0.011728313,-0.0715965,0.048490766,0.1356543,0.066002235,0.028516956,0.07233836,0.025471097,0.063350044,-0.04764927,0.035147693,-0.18480605,0.024148278,-0.028134204,-0.07432915,-0.14173335,0.023681069,-0.09280971,0.06667051,0.038602762,0.056047995,-0.056346267,0.009797724,-0.09433253,-0.014179202,-0.10076685,0.012973196,-0.04702138,0.008590069,0.021154385
sarah gabriella tumiwa,-0.013979312,-0.0005652532,-0.30500388,0.5781146,-0.40197286,0.12011163,-0.4840968,-0.6604799,-0.12697501,0.15321454,0.26873085,0.31929943,-0.8311802,-0.59302753,0.068091564,0.073336914,-0.45260316,-0.24331737,0.31955492,0.37661657,0.16312696,-0.60476005,0.44286013,-0.36171836,0.3330272,-0.48572105,0.0066745877,0.5750978,0.08502596,-0.42247367,-0.3231279,0.7388822,0.19265938,0.9783882,-0.06838406,0.62811404,-0.26176533,0.2648396,0.2977467,-0.018303972,-0.33968097,-0.23284352,0.09302829,-0.28554305,-0.35193545,-0.71022046,-0.27205154,0.5201281,0.6107514,0.94970524,-0.74545395,0.39111984,-0.6001693,0.5598295,-0.56698513,-0.11828121,-0.40111977,-0.5550201,0.59476733,-0.37380198,0.475365,-0.30815482,0.17825189,-0.06562738
tiffany regina,-0.29805705,-0.10016708,-0.47500744,0.42164376,0.21217,0.13257651,-0.28818142,-0.4706748,-0.23786049,-0.12579608,0.10401538,0.09387681,-1.2150202,0.11041941,-0.059785116,-0.024554338,-0.35512194,-0.35651925,0.24477674,0.24629986,-0.21534522,0.17439178,-0.52796215,-0.13142973,-0.18523622,-0.56666684,0.10468332,0.3121492,0.068749025,-0.30875352,-0.29077855,0.50060403,-0.07991843,0.15117115,-0.22760276,0.7174387,-0.40698218,0.21455532,0.02847347,-0.09323162,-0.13706428,-0.3322257,0.057938583,0.017133703,-0.17985101,-0.31270647,-0.2193446,0.19547334,0.21064094,0.38106316,0.18795222,-0.12957767,3.6407262e-05,-0.007225056,-0.20185412,-0.25561267,0.45693368,-0.45538375,0.5197136,-0.49732816,0.7644838,-0.35694572,0.15778247,-0.08970561
vili su,-0.03583981,0.001573436,-0.27950156,0.59013903,-0.4179261,0.11873222,-0.47603932,-0.64060533,-0.1272597,0.14063433,0.26304346,0.32238606,-0.8416909,-0.5942627,0.07033093,0.06648706,-0.4576869,-0.2509511,0.31330037,0.38570997,0.16717817,-0.58490336,0.44506523,-0.36174777,0.3329065,-0.48276478,0.0043263026,0.59542215,0.109896824,-0.4280101,-0.31652883,0.75910366,0.2114597,1.0063274,-0.07215996,0.62714374,-0.27289283,0.24614382,0.27215654,-0.0014507314,-0.34224668,-0.22189906,0.079593666,-0.29444382,-0.34305012,-0.730644,-0.29238284,0.52012634,0.6060524,0.96452343,-0.74650097,0.4033223,-0.5905875,0.56370735,-0.5452568,-0.10567324,-0.38290924,-0.54806113,0.59476125,-0.377254,0.45838568,-0.3101524,0.17065662,-0.0715907
claradevi,-0.09365314,-0.06401344,-0.066329494,-0.027195215,0.20978165,0.052986868,-0.015006723,-0.14592081,0.10799985,-0.14013064,-0.09115559,-0.046696287,0.018164344,0.087840155,-0.12081861,0.072112635,0.10791871,-0.077427,0.017462548,-0.10980679,-0.120756276,0.1413801,-0.15115172,0.0427825,-0.06359322,0.04715544,-0.024963792,0.039872177,-0.0513333,0.043711465,0.03714651,-0.09829147,0.06429527,-0.21309683,-0.05777871,-0.11780843,0.057091646,0.115871415,0.050418943,-0.040063046,0.099273756,0.04184074,0.07251604,-0.032678153,0.05667284,-0.11705539,-0.0001682025,-0.0589166,-0.10944921,-0.14194071,0.06352983,-0.15528497,0.08489095,-0.008656314,0.06718993,-0.05634339,0.04473672,-0.10542105,-0.029446717,-0.07808571,0.045875937,-0.04854347,0.008984435,0.048580416
yumi kwandy,-0.0983935,-0.05903074,0.020187063,-0.04571248,0.13491386,0.048546843,-0.00010301864,-0.06111326,0.10895859,-0.11670883,-0.09652588,-0.050897002,0.07215774,0.056581676,-0.11761863,0.08525077,0.11859357,-0.030236794,-0.023709238,-0.09469277,-0.07760374,0.11950792,-0.105837196,0.044775974,-0.065485366,0.10984643,-0.020269886,0.044113167,-0.029190414,0.009126789,0.0697761,-0.09686244,0.110700816,-0.17383204,-0.028833594,-0.13931608,0.061385583,0.07093892,0.024399824,0.017231192,0.08823156,0.055860735,0.03607446,-0.036320563,0.061471336,-0.13592976,0.014288241,-0.051201373,-0.13081726,-0.18173736,0.049241453,-0.10836995,0.07835279,0.0040961467,0.11361809,-0.039354593,0.04701014,-0.0255039,-0.0745524,-0.06315239,-0.050415613,-0.03578806,-0.016047675,0.04050804
fadhilah razak,-0.12131451,-0.08571409,-0.010873625,0.07668889,0.14365186,0.093479775,-0.10462908,-0.15480372,0.05443854,-0.07790606,-0.020201813,-0.0426042,-0.05123706,0.0072120866,-0.07201174,0.11531569,0.05226277,-0.11144009,-0.00037598718,-0.058317766,-0.097444676,0.017067228,-0.17489271,0.03565695,-0.14303195,0.018750269,-0.070678405,0.065131724,0.027848884,-0.013388257,0.0040597953,0.008868683,0.12821405,-0.060595185,-0.011543404,0.023337241,-0.011308743,0.14640565,0.05599343,0.07484335,0.05025516,-0.0111252405,0.04861246,-0.045578472,0.029891906,-0.23373903,0.018861387,-0.006463482,-0.041689653,-0.13383219,0.07739918,-0.06575562,0.09477858,0.04133204,0.047189564,-0.08738564,0.09303819,-0.1127075,0.023912217,-0.1663189,0.061320752,-0.053066347,0.03215393,-0.0068937484
aurel oriana,-0.009534132,-0.0008862391,-0.31131136,0.5754445,-0.3976202,0.12025524,-0.4854355,-0.66574883,-0.12478601,0.15533838,0.26968294,0.31926835,-0.82887506,-0.5917208,0.06736956,0.0739495,-0.4522919,-0.24090259,0.3211196,0.37408456,0.16243106,-0.6095891,0.44284546,-0.36082318,0.33250216,-0.48589265,0.007921189,0.5727544,0.08134603,-0.42074224,-0.32528672,0.73477584,0.1894338,0.971522,-0.06764925,0.62588036,-0.25932065,0.26781106,0.30377972,-0.021532426,-0.33886653,-0.2333674,0.09767589,-0.2831632,-0.35231572,-0.70575154,-0.26694024,0.5193225,0.6093801,0.9464166,-0.7444341,0.38843715,-0.6020003,0.5597181,-0.57019895,-0.12223153,-0.4050128,-0.5569477,0.5951605,-0.37320095,0.47871643,-0.30635643,0.18052712,-0.06302139
angel tamara,-0.159149,-0.08432437,-0.08078972,0.05308389,0.20548669,0.06947275,-0.07742868,-0.1751714,0.050524563,-0.12665534,-0.05176517,-0.044803284,-0.14767802,0.07327333,-0.085419804,0.07030405,0.040705517,-0.13152935,0.018594025,-0.056649286,-0.13335156,0.1257744,-0.22434312,0.019669678,-0.13406204,-0.034559608,-0.029514184,0.08296817,0.0054681133,-0.007615232,-0.009674083,-0.014987977,0.078702696,-0.12125631,-0.069787584,0.020655887,-0.035084162,0.12685122,0.038220823,0.011908362,0.06357477,-0.008775562,0.04783017,-0.022992881,0.042803343,-0.1837202,-0.01608365,-0.022918506,-0.05734984,-0.10559073,0.124559745,-0.1185704,0.11095525,-0.0022369348,0.044444986,-0.099521846,0.15838662,-0.13731219,0.03480699,-0.17006892,0.12518826,-0.06864011,0.04083948,0.013093082
calista cherrie,-0.19573344,0.03395355,-0.526387,-0.1469474,0.23408225,-0.14656614,0.2334606,-0.10185154,0.074951366,-0.35409722,-0.31266227,-0.00015488896,-0.74264896,0.3303541,-0.12381743,-0.22468966,-0.015652925,-0.052011386,0.15411645,0.016570808,-0.16547447,0.69314027,-0.065222606,-0.16731194,0.367867,-0.34272587,0.38390112,0.26967293,-0.29270333,-0.13418508,-0.17733565,-0.09826603,-0.34513044,-0.3527246,-0.39233667,-0.116962425,-0.07648462,-0.13092792,0.01439001,-0.5243572,0.037023347,0.06571757,-0.1141451,0.14844483,-0.067821845,0.23116076,-0.30711964,-0.031143598,-0.048616238,0.35139102,-0.11048037,-0.3140799,-0.15168743,-0.11287774,-0.11260142,0.015942387,0.10978679,-0.19553956,0.09199043,0.026769556,0.25648785,-0.268847,-0.036953613,0.19207287
shalfa putri raihan,0.035652876,0.003460057,-0.3585765,0.53975976,-0.37106532,0.15339835,-0.5041204,-0.7073289,-0.16107744,0.19947666,0.28193197,0.29471514,-0.7929519,-0.5864165,0.06235858,0.095382646,-0.42051572,-0.22737205,0.33926564,0.35981065,0.14799528,-0.65566504,0.41261366,-0.37547627,0.34575444,-0.49605173,0.0031523667,0.46935558,-0.0032559757,-0.41895753,-0.33213893,0.67368597,0.1072359,0.9260779,-0.04873895,0.67129683,-0.23544139,0.35195833,0.37699032,-0.08322702,-0.33269793,-0.28932074,0.11198485,-0.27298486,-0.4033048,-0.6615862,-0.19528973,0.5192373,0.65416723,0.90024424,-0.782547,0.3576763,-0.6572837,0.53641045,-0.6558442,-0.14421141,-0.4552018,-0.5665355,0.5839566,-0.35907966,0.5290749,-0.3235358,0.18428993,-0.05567793
