influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
Najelaa Shihab,-0.061435446,-0.008332957,0.01812268,0.24295798,0.032541465,0.0051057637,-0.053622898,0.10052588
Gede Prama,-0.06659264,-0.008292757,0.02030893,0.2620396,0.03500026,0.005835048,-0.057250317,0.108708635
Gitasav,-0.0630618,-0.008365236,0.018771715,0.24905536,0.03333345,0.005317474,-0.05481995,0.10312192
Alya Nurshabrina,-0.06387246,-0.008680774,0.018826043,0.25262624,0.033838682,0.005301278,-0.0557704,0.10451949
Reza Aditya,-0.05628685,-0.007857828,0.01640325,0.22299322,0.029896675,0.00458714,-0.049392756,0.092178516
Felix Siauw,-0.069158055,-0.009389968,0.02039218,0.27351543,0.036635537,0.0057436964,-0.060374714,0.113165565
Nadia Mulya,-0.057209518,-0.0069075893,0.017642127,0.22473264,0.02998867,0.0051009534,-0.04892754,0.09331628
Luna Vidya,-0.063631855,-0.007794298,0.019522615,0.25015867,0.033396248,0.0056283595,-0.0545516,0.10383045
Agustinus Wibowo,-0.06160719,0.0008518938,0.027470917,0.19845371,0.02512588,-0.006634986,-0.03749696,0.09185328
Rara Sekar,-0.051278148,0.0018761791,0.0068131303,0.41242734,0.057351697,0.029544774,-0.12328477,0.19344516
Isyana Sarasvati,-0.06472331,0.001687997,0.02950266,0.20909265,0.02639125,-0.0055689574,-0.038832717,0.09662842
Vidi Aldiano,-0.060502026,-0.004470285,0.021205794,0.23263283,0.030668756,0.006546854,-0.0483941,0.097706206
Helga Angelina,-0.04536068,0.000927411,0.0036195493,0.41090748,0.058245394,0.030663477,-0.12677303,0.19418067
Melati Wijsen,-0.04475092,-0.0012432169,0.0016954922,0.42790937,0.061596964,0.03166854,-0.13421081,0.2020732
Anindya Kusuma,-0.045694005,0.0011260528,0.0038106446,0.39283645,0.05491726,0.028445551,-0.12012665,0.18473351
Eva Bande,-0.03566371,0.0020789374,0.0005595805,0.33766052,0.047392935,0.02518416,-0.10590779,0.15973546
Zahra Muzdalifah,-0.062778026,-0.005493097,0.021235257,0.24290165,0.032137763,0.006445734,-0.051224355,0.10167739
Sarwendah,-0.053380568,-0.009746745,0.0147197675,0.21346505,0.029637067,0.0021344633,-0.04977897,0.08911443
Cut Meyriska,-0.05345966,-0.00994756,0.014332622,0.21452346,0.029663593,0.0023144833,-0.050028533,0.08913341
Danu Alqamara,-0.04940465,-0.011829406,0.010299406,0.20391405,0.028180584,0.0016701331,-0.049242683,0.08286078
Donna Harun,-0.05802992,-0.0107314065,0.01454682,0.23456907,0.031792838,0.003660032,-0.054029904,0.09594289
Rian Fahardhi,-0.060439337,-0.012476752,0.0139824,0.24661632,0.03359239,0.0032836548,-0.057808895,0.10037607
Nona Berlian Sakina,-0.060484406,-0.011673031,0.014916847,0.24502757,0.03338643,0.0034144572,-0.05692695,0.100311734
Henjiwong,-0.053850707,-0.008697666,0.015416646,0.21410152,0.029317768,0.0030885888,-0.04879322,0.089173615
Anakjajan,-0.06653243,-0.009951447,0.019141933,0.26416647,0.035707887,0.0047871387,-0.05923132,0.10944345
Kuliner Koko,-0.06791239,-0.010849638,0.01872855,0.27119508,0.036636446,0.0048025143,-0.061242513,0.11181409
Susan Theresia,-0.06659583,-0.010305706,0.018723862,0.26524568,0.03582401,0.004783799,-0.059671875,0.10957407
Agakenyang,-0.056592964,-0.009091813,0.016518198,0.22445329,0.030890021,0.0029803975,-0.051270444,0.09389825
Ayoe Widya,-0.057894107,-0.009370193,0.016714765,0.22994275,0.031582676,0.0031472053,-0.052508928,0.0959922
Syifa Hadju,-0.061370254,-0.010960715,0.015733328,0.24738172,0.033479616,0.0040285983,-0.056681085,0.10133123
Greysia Polii,-0.066114746,-0.0053525567,0.022752726,0.2550442,0.033686362,0.0069641396,-0.053435992,0.10693205
Apriyani Rahayu,-0.05364709,-0.0058454988,0.017130418,0.20909825,0.027814945,0.0047610677,-0.04503723,0.08718465
Liliyana Natsir,-0.06542647,-0.0052857148,0.022525858,0.25236934,0.033331573,0.006896161,-0.05286657,0.10581501
Rio Haryanto,-0.05798027,-0.0061772624,0.018619977,0.22629832,0.030088931,0.005504373,-0.0486139,0.094288655
Anthony Ginting,-0.053152226,-0.0034725405,0.01938914,0.19381191,0.025393607,0.00068646204,-0.040152885,0.08374646
Jonatan Christie,-0.052132864,-0.005755023,0.016561667,0.20383221,0.027128473,0.004867647,-0.04394829,0.08484894
Kevin Sanjaya,-0.063249156,-0.0067582484,0.020294396,0.24689779,0.032830473,0.005996595,-0.053054832,0.102863826
Marcus Gideon,-0.05778702,-0.0063815834,0.01835574,0.22594342,0.030071616,0.0053946045,-0.048717596,0.094052196
Rizki Amelia,-0.053656522,-0.0043383623,0.018470384,0.20697542,0.027336663,0.0056541376,-0.04336026,0.086780556
Eko Yuli Irawan,-0.057397626,-0.005987361,0.018547773,0.22379729,0.029739412,0.00550102,-0.047974356,0.09329694
Diananda Choirunisa,-0.05497208,-0.0052250633,0.018343154,0.21007824,0.027820114,0.0036675124,-0.04471712,0.088514864
Indra Sjafri,-0.059091993,-0.008625105,0.016883032,0.23477347,0.031525213,0.0046630423,-0.052298166,0.096902326
Wahyu Nayaka,-0.05257073,-0.004629899,0.017755628,0.2034606,0.02692342,0.0053855283,-0.04293099,0.08515568
Ahsan Hendra,-0.050644755,-0.0033345409,0.018237531,0.1906765,0.025050778,0.0038518133,-0.039404824,0.08098838
Aprilia Manganang,-0.06329066,-0.006064241,0.020935565,0.24581963,0.032594353,0.006284439,-0.052264452,0.10268973
Zohri Lalu,-0.06551534,-0.008116748,0.02001801,0.2577262,0.034418613,0.0057576653,-0.056274712,0.10693554
Bryan Domani,-0.051823504,-0.006990549,0.015322035,0.2048771,0.027435893,0.004322653,-0.045187593,0.084784634
Yasa Singgih,-0.0033280961,0.073324814,0.06340614,0.41368267,0.04835096,-0.0012155846,-0.19719507,0.31631652
Andhika Diskartes,-0.02915823,0.07259802,0.14679253,0.38101915,0.09022649,-0.004255096,-0.1796712,0.3911584
Raden Rauf,0.14073555,-0.070322916,0.0074634776,0.18295401,-0.14891955,0.17690311,-0.23262182,0.32879642
Sandy Firmansyah,-0.008127607,0.0741681,0.06676897,0.44312105,0.051927704,-0.00030143186,-0.20611385,0.33220202
Jouska,-0.027511183,0.07144206,0.14889053,0.35621896,0.09074095,-0.005535106,-0.1712045,0.38252956
Fellexandro Ruby,-0.016565725,0.07026142,0.06579636,0.45957538,0.05476952,-0.0005467944,-0.20591812,0.3327476
Denny Santoso,0.14073555,-0.070322916,0.0074634776,0.18295401,-0.14891955,0.17690311,-0.23262182,0.32879642
Vincent Raditya,-0.06166729,-0.010746619,0.016049623,0.24810474,0.033543102,0.0041566887,-0.056639794,0.101729274
Christian Sugiono,-0.009108838,0.07611855,0.06971272,0.45889324,0.05354635,0.00057233125,-0.21219693,0.3432796
Hanifa Ambadar,-0.019420266,0.07045541,0.06732804,0.4737753,0.056548204,-0.00011360645,-0.20968442,0.33978245
Rendy Saputra,0.14073555,-0.070322916,0.0074634776,0.18295401,-0.14891955,0.17690311,-0.23262182,0.32879642
Agung Hapsah,-0.06452164,-0.0064219916,0.021127187,0.2510265,0.03331676,0.006309191,-0.05356429,0.104769945
Irfan Amalee,-0.007012725,0.07441523,0.06601763,0.42756632,0.04997527,-0.0002807863,-0.19959211,0.3231867
Sibungbung,0.04198188,0.012365378,-0.07513414,0.36148655,-0.095722705,0.12294082,-0.22645055,0.29215735
Nana Koot,0.04017179,0.012099646,-0.07509597,0.37920067,-0.09637736,0.12620312,-0.23303948,0.30274945
Vindy Lee,-0.06820591,-0.0073048985,0.021869546,0.26627705,0.03540963,0.0064596245,-0.057232764,0.11093101
Chef Arnold,-0.06694565,-0.0072574634,0.021386763,0.26151237,0.034787647,0.006304683,-0.056278683,0.108911574
Farah Quinn,-0.067394465,-0.00696647,0.021835465,0.26266256,0.034895573,0.006485014,-0.0562547,0.109524265
William Gozali,-0.064845234,-0.0069671767,0.020772014,0.2531963,0.0336731,0.0061323144,-0.054439,0.10547284
Chandra Yudasswara,-0.067605026,-0.006965272,0.021924328,0.2634424,0.034996122,0.00651461,-0.05640333,0.109858505
Devina Hermawan,-0.06113448,-0.00093421247,0.025480848,0.2052742,0.02633401,-0.0045264424,-0.04028219,0.092813335
Yuda Bustara,-0.060810998,-0.0067962725,0.019243708,0.23791033,0.031675044,0.005644081,-0.05136237,0.09900185
Tasya Farasya,-0.061486308,-0.0090307575,0.01751661,0.2443859,0.03282329,0.004829147,-0.054483578,0.100848086
Bara Pattiradjawane,-0.058205497,-0.0022735288,0.02279482,0.20421755,0.026487606,-0.001478291,-0.04117068,0.09011817
My Fun FooDiary,0.04074749,0.011799939,-0.07575228,0.38099667,-0.09706933,0.12701696,-0.23459285,0.3044082
Kadek Arini,-0.05890356,-0.010119697,0.01546094,0.23672749,0.03198621,0.0040294593,-0.053929724,0.09711984
Vina Muliana,-0.05456222,-0.011830911,0.012112701,0.22364284,0.030535193,0.002733712,-0.052857935,0.09081178
Marischka Prudence,-0.06310718,-0.0106609445,0.016726952,0.25330013,0.034202136,0.0043905685,-0.05756461,0.10398814
Trinity Traveler,-0.05355843,-0.009702185,0.013798536,0.21581021,0.029336473,0.0032606432,-0.04966268,0.088620305
Adrian Maulana,-0.06641843,-0.0106398,0.018126473,0.2655601,0.03578257,0.004856921,-0.059899163,0.109243624
Backpacker Tampan,-0.05497572,-0.009708015,0.014376637,0.22109702,0.030015728,0.0034621032,-0.05067811,0.09086937
Mira Lesmana,-0.0585901,-0.0097880885,0.016217344,0.23397125,0.03192369,0.003504598,-0.05342287,0.096940026
Oki Setiana Dewi,-0.0680066,-0.010597654,0.018826492,0.27138343,0.036528777,0.0050936053,-0.060981058,0.111753225
Jess no Limit,-0.057020903,-0.006691359,0.017757867,0.2236482,0.029818432,0.0051627737,-0.048537668,0.0929417
Frost Diamond,-0.059446197,-0.008191384,0.017490968,0.25701278,0.032893274,0.0091828015,-0.06046042,0.110152975
MiawAug,-0.062041923,-0.0065033846,0.020020185,0.24196176,0.032157402,0.0059333025,-0.051893458,0.10085693
Windah Basudara,-0.054351874,-0.008111763,0.015553655,0.25801355,0.031661164,0.012522609,-0.06450772,0.11393637
Jonathan Liandi,-0.059886083,-0.0071562165,0.01853453,0.23511446,0.031364202,0.0053699054,-0.05112856,0.097656325
BTR Zuxxy,-0.059964463,-0.008570077,0.017296247,0.23791601,0.031923387,0.0048060236,-0.052854855,0.09826996
EVOS Reza,-0.06413523,-0.009646464,0.01806751,0.25531685,0.03432098,0.004945064,-0.057098594,0.10527118
Donkey,-0.04947997,-0.008315041,0.013410328,0.24971281,0.029977567,0.01366592,-0.06492433,0.11187366
Kayes,-0.06136184,-0.0073032156,0.019058364,0.25532907,0.033034254,0.008374156,-0.057974808,0.10861276
Xinn,-0.061456095,-0.009290889,0.017270172,0.24473557,0.032904763,0.0047192294,-0.054769386,0.10089005
Oura Gaming,-0.06391171,-0.007086333,0.020293683,0.25744614,0.033741094,0.007435411,-0.056830525,0.1084671
BTR Luxxy,-0.05179378,-0.0067329193,0.015707081,0.19971702,0.026677078,0.0019504211,-0.044002756,0.083740436
Leokoce,-0.058775418,-0.008512509,0.017078988,0.28084505,0.03428005,0.014116409,-0.07033514,0.124490134
Sarah Viloid,-0.06748858,-0.0075287037,0.02139303,0.27345914,0.035741773,0.008134371,-0.060656723,0.115454815
Rekt,-0.05871754,-0.009022679,0.016369529,0.23408878,0.03149228,0.0044496683,-0.052501064,0.09644471
Hanan Attaki,-0.06009536,-0.007956326,0.017973054,0.23536415,0.03148444,0.0040243273,-0.051858477,0.09788108
Adi Hidayat,-0.06644968,-0.009150803,0.019478004,0.26303223,0.03524824,0.0054664994,-0.058162205,0.10877822
Abdul Somad,-0.060256146,-0.008324211,0.01763887,0.2385627,0.03197259,0.0049462877,-0.05277222,0.09864851
Gus Baha,-0.06991199,-0.0073284274,0.022559686,0.27265492,0.03623662,0.0066859126,-0.05847628,0.113650724
Yusuf Mansur,-0.06724141,-0.009135097,0.01982221,0.26594475,0.0356222,0.0055823354,-0.058707822,0.11003115
Salim A. Fillah,-0.060993034,-0.0076843915,0.018678663,0.23580533,0.03147366,0.0029614912,-0.051725943,0.09873695
Habib Jindan,-0.06974925,0.0035353936,0.033703357,0.21146347,0.026242042,-0.0110974135,-0.037794482,0.10132272
Habib Novel Alaydrus,-0.06618156,-0.004943189,0.023408897,0.2473411,0.03254473,0.0032503568,-0.051648136,0.10546659
Buya Yahya,-0.06396783,-0.0034410842,0.024021477,0.23125724,0.030190432,0.0007605623,-0.0473237,0.100393824
Habib Rizieq,-0.07117282,0.0037458315,0.03461363,0.21258731,0.026297549,-0.012843252,-0.037850566,0.10273352
KH. Cholil Nafis,-0.06766032,-0.008046891,0.02097508,0.26556823,0.035421666,0.006082589,-0.05772063,0.11032052
Hilman Fauzi,-0.069722034,-0.00916883,0.020826098,0.2752173,0.036824465,0.005911552,-0.060515326,0.113985434
Syafiq Riza Basalamah,-0.06855738,-0.009156195,0.020351896,0.27086952,0.036261186,0.0057556834,-0.059670493,0.112130016
Ernest Prakasa,-0.05420235,-0.0076996177,0.016189419,0.21409696,0.029021537,0.003826478,-0.047814786,0.089187995
Joko Anwar,-0.06728668,-0.009392233,0.019609936,0.2665694,0.03573877,0.0054840706,-0.05904388,0.11019204
Dandhy Laksono,-0.049244247,-0.007626436,0.0136750825,0.19642721,0.02643335,0.003707609,-0.04410095,0.0809052
Gina S. Noer,-0.06717942,-0.009063294,0.020001002,0.26534837,0.035615962,0.0054563624,-0.058604576,0.1100108
Remy Sylado,-0.06643477,-0.0074982224,0.020957345,0.26004255,0.03463143,0.006136193,-0.056199096,0.10818289
Andrea Hirata,-0.057477836,-0.006853141,0.017802939,0.22563244,0.030097283,0.005160179,-0.04905441,0.0937239
Leila S. Chudori,-0.059417326,-0.006894633,0.018574245,0.2329091,0.031042863,0.005411434,-0.050485477,0.09682082
Seno Gumira Ajidarma,-0.06435174,-0.007288513,0.02027741,0.25193414,0.033554945,0.005933474,-0.054467,0.10479965
Wira Nagara,-0.05391635,-0.0047624893,0.018451942,0.20163181,0.026618183,0.0017157894,-0.04272514,0.08594249
Pandji Pragiwaksono,-0.054893617,-0.0078504775,0.016282361,0.21703367,0.029387472,0.003923129,-0.04847464,0.09029499
Windy Ariestanty,-0.059223983,-0.0068080174,0.0185715,0.23203726,0.03091817,0.0054199137,-0.05024537,0.096483566
Intan Paramaditha,-0.054622795,-0.0056309267,0.017827181,0.20965448,0.02782393,0.0035364982,-0.04497633,0.08813035
Merry Riana,-0.061186507,-0.009031903,0.01739059,0.24327451,0.032679915,0.0047872365,-0.0542713,0.100372
