brand_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
Le Minerale,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094
Ultra Milk,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
SariWangi,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094
Good Day,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Kopi Kapal Api,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094
Torabika,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094
Nescafe,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094
Cimory,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Greenfields,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
So Nice,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Tango,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
SilverQueen,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Chitato,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Qtela,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Wings Group,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
So Klin,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Sunlight,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Daia,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Rinso,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Mama Lemon,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Baygon,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Hit,0.017074876,0.011350704,0.0076436745,0.006818528,-0.043097034,0.007707797,-0.03524595,0.08283826
Top Coffee,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Mitu Baby,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Wardah,0.027020779,-0.009331392,0.013544092,0.0021908772,-0.061247807,0.01814248,-0.047634326,0.1175712
Make Over,0.053909723,-0.008318365,-0.035284024,0.030081082,-0.06268446,0.04737933,-0.071728624,0.10853209
Emina,0.053909723,-0.008318365,-0.035284024,0.030081082,-0.06268446,0.04737933,-0.071728624,0.10853209
Sariayu Martha Tilaar,0.053909723,-0.008318365,-0.035284024,0.030081082,-0.06268446,0.04737933,-0.071728624,0.10853209
Purbasari,0.053909723,-0.008318365,-0.035284024,0.030081082,-0.06268446,0.04737933,-0.071728624,0.10853209
Viva Cosmetics,0.053909723,-0.008318365,-0.035284024,0.030081082,-0.06268446,0.04737933,-0.071728624,0.10853209
Kahf,0.051615782,-0.008078378,-0.033523872,0.03198035,-0.057818018,0.04385074,-0.06906149,0.10694141
MS Glow,0.027020779,-0.009331392,0.013544092,0.0021908772,-0.061247807,0.01814248,-0.047634326,0.1175712
Scarlett Whitening,0.053909723,-0.008318365,-0.035284024,0.030081082,-0.06268446,0.04737933,-0.071728624,0.10853209
Somethinc,-0.0041104183,0.01502276,0.048341036,-0.026762342,-0.055479683,-0.01179355,-0.01978306,0.094727814
Dana,0.01988676,0.0032465048,0.016537217,-0.0072827693,-0.06257652,0.011260219,-0.04078906,0.10676323
OVO,0.01988676,0.0032465048,0.016537217,-0.0072827693,-0.06257652,0.011260219,-0.04078906,0.10676323
Gopay,0.01988676,0.0032465048,0.016537217,-0.0072827693,-0.06257652,0.011260219,-0.04078906,0.10676323
LinkAja,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
BCA Digital,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
Jenius,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
SeaBank,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
Bank Jago,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
Livin' by Mandiri,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
Flip,0.03411139,0.009001642,-0.0308575,0.020816384,-0.044535853,0.029306646,-0.048864305,0.068272874
Gojek,-0.4056502,0.22157186,0.5337545,-1.0722262,-0.9638462,-0.29208937,0.25193244,-0.09207821
Grab,-0.4056502,0.22157186,0.5337545,-1.0722262,-0.9638462,-0.29208937,0.25193244,-0.09207821
Traveloka,-0.021952808,0.039698783,0.05315187,-0.028509501,-0.058198642,-0.035913624,-0.007182963,0.08854147
Tiket.com,0.026122656,0.009437917,-0.024486914,0.04313985,-0.018588237,0.007270634,-0.042042788,0.084715076
Lion Air,0.026122656,0.009437917,-0.024486914,0.04313985,-0.018588237,0.007270634,-0.042042788,0.084715076
Garuda Indonesia,0.026049685,0.00972826,-0.024619514,0.042777695,-0.018769272,0.0072303116,-0.041928954,0.0843903
J&T Express,0.026122656,0.009437917,-0.024486914,0.04313985,-0.018588237,0.007270634,-0.042042788,0.084715076
SiCepat,0.026122656,0.009437917,-0.024486914,0.04313985,-0.018588237,0.007270634,-0.042042788,0.084715076
Anteraja,0.026122656,0.009437917,-0.024486914,0.04313985,-0.018588237,0.007270634,-0.042042788,0.084715076
Pos Indonesia,0.026122656,0.009437917,-0.024486914,0.04313985,-0.018588237,0.007270634,-0.042042788,0.084715076
Erigo,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
3Second,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Hammer,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Lois Indonesia,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
The Executive,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Brodo,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Geoff Max,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Monstore,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Damn! I Love Indonesia,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Cottonology,0.0115213115,0.00301864,0.053278517,-0.09745083,-0.07841122,0.018026127,-0.02100155,0.10356584
Advan,0.02223998,-0.012201196,-0.014638491,0.025490325,-0.03302354,0.019891035,-0.037660424,0.072462805
Axioo,0.02223998,-0.012201196,-0.014638491,0.025490325,-0.03302354,0.019891035,-0.037660424,0.072462805
Polytron,0.02223998,-0.012201196,-0.014638491,0.025490325,-0.03302354,0.019891035,-0.037660424,0.072462805
Evercoss,0.02223998,-0.012201196,-0.014638491,0.025490325,-0.03302354,0.019891035,-0.037660424,0.072462805
Zyrex,0.02223998,-0.012201196,-0.014638491,0.025490325,-0.03302354,0.019891035,-0.037660424,0.072462805
Smartfren,0.031102547,-0.0074085835,-0.021771733,0.018073382,-0.043274075,0.02748463,-0.04437728,0.074698865
MyRepublic Indonesia,0.031102547,-0.0074085835,-0.021771733,0.018073382,-0.043274075,0.02748463,-0.04437728,0.074698865
Biznet,0.038488206,-0.01491545,-0.02304627,0.020165283,-0.05071502,0.034051724,-0.05250296,0.09046924
IndiHome,-1.0870494,1.6904784,1.1146778,-0.44495535,-0.39433172,-1.3503977,0.11857084,0.706332
Bardi,0.02223998,-0.012201196,-0.014638491,0.025490325,-0.03302354,0.019891035,-0.037660424,0.072462805
Bank BCA,-0.012961628,0.14023992,0.12913394,-0.21836746,-0.08999537,0.04598185,0.15441485,0.06807047
Bank Mandiri,-0.012961628,0.14023992,0.12913394,-0.21836746,-0.08999537,0.04598185,0.15441485,0.06807047
BRI,0.048043005,-0.0243043,-0.021565184,0.036334574,-0.04585464,0.03725635,-0.062894545,0.1143008
BNI,0.014474645,-0.003051294,0.005603466,0.0034420579,-0.031748377,0.0077115856,-0.025998354,0.06803918
BTN,0.014474645,-0.003051294,0.005603466,0.0034420579,-0.031748377,0.0077115856,-0.025998354,0.06803918
Asuransi Astra,0.014474645,-0.003051294,0.005603466,0.0034420579,-0.031748377,0.0077115856,-0.025998354,0.06803918
Prudential Indonesia,0.014474645,-0.003051294,0.005603466,0.0034420579,-0.031748377,0.0077115856,-0.025998354,0.06803918
AXA Mandiri,0.014474645,-0.003051294,0.005603466,0.0034420579,-0.031748377,0.0077115856,-0.025998354,0.06803918
Allianz,0.014474645,-0.003051294,0.005603466,0.0034420579,-0.031748377,0.0077115856,-0.025998354,0.06803918
Pegadaian,-0.0026781783,0.024873357,0.07836289,-0.047226544,-0.042335726,-0.010353364,-0.01603264,0.1353438
