instagram_account,post_id,post_caption
rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶"
rizkypahleviii,post_032,Emang iya begini? #cogil
rizkypahleviii,post_033,Kentut wangi red velvet
rizkypahleviii,post_034,jangan sampe anak tongkrongan lu tau
rizkypahleviii,post_035,Kocheng kok sok jual mahal gitu ya?
fidahana,post_038,"Beginilah ya kalau pacer nya cewek cewek kebanyakan gula 🤪✌🏻 @btn_jakim @mizunoid sedikit cuplikan yang sayang kalau gak di post😜🤏🏻 untuk gerbong 2.45 kalian super keren! Kompak & seru banget, mulai dr nyanyi, berdendang, tebak kata, adu pantun semua dilakuin! 🫰🏻🤣💃🪩💨 Bahkan tiap dari water station, barisan langsung balik lagi dengan rapi!! Terimakasih banyak para runners yang kemarin ikut seru2 an di gerbong kita ya ✨🫶🏻😍😜 Terimakasih atas kepercayaan nya menjadikan kita pacer woohoo @btn_jakim @mizunoid event nya luar biasa!🥳❤️♥️💙💙 #BTNJakim2025 #pacer #mizuno #halfmarathon"
fidahana,post_039,"#mandatorymedalmondaypost 🥇 still can’t believe (once again) that i got to be here, from a nobody to a half marathon pacer… what an experience! 🥹🫶🏻 wlpn di tengah - titik kritis i wasn’t feeling my best, tapi energy dari gerbong hm sub 2:45 & also my pacer mate @taammonste @hayatinupush11 bener benerrr rame, solid, and so full of spirit. it kept me going all the way to the finish line!!😭 again, huge thanks to the @mizunoid team & @btn_jakim for giving us such an incredible and well-prepared experience from the very beginning, aku jadi kenal & bertemu banyak orang seru, baik hati & hebaat🥹 esp @iwansaktiawan7 @bella.scholastica @sarfinasheila @luthfigo @dickyafs (hiks gaada foto brg coach dicky selama event). truly an honor to be trusted with this role, and even more special to cross the line strong, happy, and right on pace. what a day! 💙✨"
fidahana,post_040,"incredibly grateful to be selected as one of the Mizuno pacers for the Half Marathon Sub 2:45 category at BTN Jakarta International Marathon 2025!!🥹🫶🏻 it really such an honor to take part in one of the city’s major running events and cross the finish line strong, happy, and right on target with the pacing goal ✨ thank you so much!! @mizunoid @btn_jakim #btnjakim #btnjakim2025 #jakartainternationalmarathon"
fidahana,post_041,"Just did my interval session (road to @btn_jakim) yesterday, and laced up in the Mizuno Wave Rebellion Pro 3!⚡️ It felt super bouncy and responsive, with crazyyyy energy return 🤯 Definitely one of those shoes that pushes you forward the moment you push off the ground!"
fidahana,post_042,track state of mind 🤓⚡️ 📸: @olahragadifotoin
jurnaltasya,post_043,"""It's a beautiful thing when career and passion come together.."" 🎙️Podcast Ditlantas Polda Sulut bersama Kapolda Sulawesi Utara, Irjen Pol. Drs. Setyo Budiyanto, SH. MH Ngobrol apa aja? Cuss nonton selengkapnya di channel youtube Ditlantas Polda Sulut yaaaa 😉 #podcast #kapoldasulut #poldasulut #polri #ditlantaspoldasulut #direktoratlalulintas"
jurnaltasya,post_044,"Bukan kuat dan hebatku, tapi karena Tuhan Yesus yang terlalu luar biasa.. 😭😇 Pencapaian tahun 2024 jauh melebihi harapan dan ekspektasi. Kerja keras dan proses yang berbuah manis. 🥹 Tetap semangat untuk para pejuang diluar sana. Kalian hebat! I'm very proud to be a professional master of ceremony 🥰💝🎤 #jurnaltasya #masterofceremony #mcmanado #mcgorontalo #recap2024 #mc #moderator"
jurnaltasya,post_045,Sumber air sudekat.
jurnaltasya,post_046,Sumber air sudekat.
jurnaltasya,post_047,Auto bungkus Yamaha Grand Filano gegara Sentral Yamaha Calaca Manado so buka gengss 😍🫶 CUSS JANG NGONI KETINGGALAN !! 😚 #jurnaltasya #yamaha #yamahamanado #yamahasemakindidepan #promoyamaha #sentralyamahacalaca
candyelina_,post_048,"Puasa kok lemes terus? :( Padahal pengen banget ibadah lancar dan tetap produktif seharian.. Ini dia rahasia energiku selama Ramadan. Inoru Tea rasa leci yang seger banget 🤤. Tonton videonya sampai habis biar tau gimana teh ini bantu aku tetap fit. Teh hijau alami di Inoru Tea bantu jaga energi, lancarkan pencernaan, dan tinggi antioksidan lho. Jadi, badan tetap fit, ibadah nyaman, dan aktivitas lancar. Aku udah buktikan sendiri. Ga cuma itu, rasanya juga enak, plus sudah sertifikasi BPOM, cocok nemenin sahur dan berbuka Make this Ramadan your best one with Inoru Tea. Check out @inoru_tea or visit inorutea.com for more info. Ramadan Kareem 🌙 #inorutea #inoruslimmingtea #healthyramadan #ramadhansehat #healthyliving #greentea #lycheetea #antioxidants #antioksidan #healthyhabits #ramadantips #ramadanrecipes #puasalancar #ramadanboost"
candyelina_,post_049,"Sering ngerasa perut buncit dan susah BAB? 😩 Pasti ganggu banget, kan? Nih, aku punya solusinya. Aku lagi rutin minum Inoru Tea rasa leci yang enak banget 😍 Teh hijau celup ini bukan cuma bikin seger, tapi juga bantu mengurangi lemak tubuh, melancarkan pencernaan, dan bahkan bisa menurunkan berat badan. Udah BPOM dan bahannya premium lho.. Aman banget buat jangka panjang 🥰 Yuk, cobain juga. Cek @inoru_tea atau website mereka di www.inorutea.com untuk info lebih lanjut dan cara pembelian #inoruslimmingtea #inorutea #tehhijau #dietsehat #bodygoals #sehatalami #tehleci #inoru #goodlife #tea #teatime #tealover #tealovers #diettea"
candyelina_,post_050,"STOP pakai setting spray kalau caranya masih salah 🙅🏻‍♀️ Ada teknik yang bikin makeup kalian tahan lama, yaitu Sandwich Technique. Kenalkan setting spray NPURE, 1st No Alcohol Continuous Mist Setting Spray di Indonesia dengan hasil matte flawless. Sudah triple-tested: hypoallergenic, non-acnegenic, dan dermatologically approved 😍 Ini setting spray vegan, halal, dan aman untuk bumil & busui, plus tanpa bahan berbahaya lho.. Sudah waterproof, sweatproof, dan smudgeproof, yang bikin makeup kamu tahan seharian 😇 Yuk ikutan pake dan lapisi setiap layer makeupmu dengan setting spray NPURE untuk hasil maksimal. Beli sekarang dan rasakan bedanya 💚 #npure @npureofficial"
candyelina_,post_051,"Lebih dari sekadar mencerahkan ✨ ROOTIN Beauty Collagen @rootin.id memberikan manfaat lengkap untuk kulit dan tubuhmu. Selain mencerahkan dan meningkatkan elastisitas kulit, ROOTIN Beauty Collagen juga membantu meningkatkan sistem kekebalan tubuh, menjaga kelembaban kulit, dan mendukung kesehatan tulang. Berikut kandungan Rootin Beauty Collagen: Tripeptide Salmon collagen bermanfaat untuk: - Membantu meningkatkan elastisitas kulit & kekenyalan kulit - Membantu mengurangi, garis halus dan memperbaiki tekstur kulit - Mendukung pertumbuhan rambut yang sehat dan kuku yang lebih kuat L-glutathione bermanfaat untuk: - Mencerahkan kulit dan glowing - Membantu mengurangi masalah kulit seperti flek, bekas jerawat, flek dan bitnik-bintik gelap Ekstrak sarang burung walet bermanfaat untuk: - Membantu meningkatkan sistem kekebalan tubuh - Membantu membuat kulit lebih muda dan mencegah keriput - Menjaga kelembaban kulit - High Antioxidant Vitamin C bermanfaat untuk: - Menguatkan kekebalan tubuh - Membantu mencerahkan kulit Premiks Vitamin - Mendukung kesehatan tulang Kekebalan tubuh - Membantu menjaga kesehatan kulit Dengan ROOTIN Beauty Collagen, kamu ga hanya mendapatkan kulit yang cantik, tapi juga tubuh yang sehat dan bugar. Jangan lewatkan kesempatan untuk memiliki kulit yang sehat dan glowing. Order ROOTIN Beauty Collagen sekarang di ecommerce favoritmu 😊. Dengan #rootin, #sehatluardalam ❤️ #ROOTINBeautyCollagen #KesehatanKulit #HealthyLifestyle"
khairinadiar,post_052,"Emang enggak capek jadi people pleaser? 🫵🏻😩 #tulisanirin — #selflove #friendlyreminder people pleaser, real talk"
khairinadiar,post_053,"A little picnic in the city—just without the basket. Let the gingham do the talking. 🧺🍒🪁 Scroll till the end for the full look! 👀 — #picnicdate #outfitideas #outfitinspo gingham outfit, date ideas"
khairinadiar,post_054,"Hiding the truth just to be loved is manipulation, not love. ☺️ #tulisanirin — #relationshipquote #quotestoliveby #relationshipadvice relationship problems, honesty, manipulation"
khairinadiar,post_055,"When words fail, let the cake speak. 🍰 — #simpleook #outfitideas #ootdfashion simple outfit, lettering cake, quotes to live by"
khairinadiar,post_056,"Mohon maaf lahir, batin, dan postingan Lebaran yang belum habis-habis. 🤣🙏🏻"
angelltamara,post_057,"💌 #MeetAngel: The intro to my movie 🎀 aka get to know me a little I’m angel. I sew sometimes, I style always. And this is basically my fashion diary. If you like lace, ribbons, jahit2an, and outfits that feel like you made an effort just because, you might feel at home here ✨ Sometimes I still can’t believe I get to call this part of my life. Thank you for being here, seriously. Every little support means more than you think 🫶🏻 . . . . #personalstylejourney #narratortrend #fashioncreator"
angelltamara,post_058,"My wardrobe comfort picks 🤍 Not every outfit has to be loud, some just feel like me. Thank you @pixfootwear for being part of my everyday ease 🩰✨ . . . . #LifeOfPixies #outfitrotation #softgirlstyle #outfitrepeater"
angelltamara,post_059,lately it's been embracing the art of outfit repeating and wearing the clothes i love over and over again 🤎☕️ ⊹ ࣪ ˖ — top: @asmaraguise pants: @ocha.wear x @valeriepola heels: @mooresei.official . . . . #outfitinspo #ootd #outfitinspiration
angelltamara,post_060,love language is @ferragamo fiamma — smells like memories i never got to say out loud ❤️ . . . . #FerragamoFiamma #FerragamoParfums
aurelvo_,post_061,timeless outfit details : choco dress @mango (the key of the looks!) bag @katespadeny bracelet @the palace_id #timelessstyle #outfitoftoday #elegantstyle
aurelvo_,post_062,here is the detail product used : - tinted glass H2Oil shade “pink plastic” (1st shade) - tinted glass H2Oil shade “wife me up” (2nd shade) both from @madformakeup.co 🤍 #lipgloss #lipswatches #makeup
aurelvo_,post_063,when the complexion and highlighter do my makeup so well✨❣️ . . . . . #glowymakeup #naturalmakeup #beauty
aurelvo_,post_064,yesterday’s activities : 🧺💐
aurelvo_,post_065,attended the “Grand Opening GUESS Accessories” with their newest collection and newest concept store at @summareconmall.bandung go there now girls! @guess @gilangagung.id 🤍 oh! with their collaboration tho @josefabakery @cottoncandy_and_snack_corner @instaxindonesia @onthepenthays @steybyhery
fahmiadimara,post_066,"Tahun ini, @Google menyelenggarakan Local Guides Summit ke-2 untuk orang-orang yang berkontribusi di wilayah mereka ke @GoogleMaps dan Google Search. Google mengundang 150 Top Contributors dari 62 negara ke markas besar Google di Mountain View, California. Pada 2016, ada 75 peserta dari 37 negara. Berbasis data dari panitia. Tahun lalu, ada 5 juta Local Guides di seluruh dunia. Hebatnya, jumlahnya kini telah meningkat menjadi 50 juta meningkat 10x dalam satu tahun. Jadi revisi yah, tahun 2017 delegasi Indonesia berhasil terpilih dari 50 juta Local Guides seluruh dunia, bukan bersaing dengan 200 ribu sekian hehe. Semangat rek buat tahun depan! Courtesy by @pagipagi_nettv @netmediatama. Cc @ristekdikti @kemenpar @kemenpora @univ_airlangga @satuunair @globalunair @amertaunair @mahasiswaairlangga @unair.students @unair.story @haiunair #Google #LocalGuides #LGSummit17 #OnGoogleMaps #TeamPixel #GlobalUNAIR #UNAIR #AirlanggaUniversity #UniversitasAirlangga #Amerta2017 #BanggaUNAIR #BanggaSurabaya #BanggaSidoarjo"
fahmiadimara,post_067,"Klo sebelumnya moment ter-grogi ialah saat sharing tentang bisnis kopi tahun lalu di panggungnya @superadventure_id di event @indonesia.summit Ini kedua kalinya moment paling grogi seumur hidup, naiknya cuma beberapa menit persiapannya bikin kepikiran wkwk Gimana ga deg”an bicarain product launch realme Buds Air 5 dikonsep chit-chat, takut salah omong karena ini bener” pengalaman pertama kali seperti ini di panggung utama dan ditonton oleh para tech influencer top of mind indonesia, BA realme Indonesia, awak media, brand kolega & partner realme Indonesia, tim realme Indonesia, realme fans seluruh Indonesia, realme friends seluruh indonesia dan penonton online live streaming. Ga kebayang sama sekali saya yang anak introvert, yang dulunya pas kuliah ga berani ngomong di depan anak SMA, sekarang bisa dapat kesempatan ini. Terima kasih banyak untuk kesempatan dan kepercayaannya @realmeindonesia @realmecommunity @realmeglobal Sampai jumpa di moment” selanjutnya! Lets Rockin! #realmeIndonesia #realme5thAnniversary"
fahmiadimara,post_068,Terima kasih banyak sudah support dan menyempatkan datang langsung Mba Wakil Menteri @kemenparekraf.ri Mba @angelatanoesoedibjo di acara pertama kami BODRIE COFFEE FESTIVAL @bodriecoffeefestival by @bodrie1934 POWERED BY : @urbanrepublicid @dji.era @superadventure_id @naturasa_id @realmeindonesia @denali.indonesia @scurolavino @indibiz.id @gmxgear.id @grabjatimrek @cgv.surabaya @cozmeedofficial NATIONAL MEDIA PARTNER : @kemenparekraf.ri @pesona.indonesia @genpiindonesia @indonesiaroamers LOCAL MEDIA PARTNER : @eventjawatimur @ehayokngopi @surabayaguides SUPPORTED BY : @cleopurewater @plazakamera @ifi_surabaya @dignityproduction @ledscreenindonesia @indische1931 @indischenetwork @urtrip.id COMMUNITY SUPPORTED BY : @kungfumedia_ @surabayaguides @homelesscaneat @kawbike @kyy.cc @bimasakticare_official EXHIBITION BY : @urbantoyssurabaya @rfc.surabaya OFFICIAL BEANS BY : @moodmaker.cc WORKSHOP BY : @artonea @bararupa_ @nest.ps POP UP MARKET BY : @persy.id @maquiremqr @cenilwaetoys X @mightymilbo X @robot_cimot X @toysofhendrik X @arengk.id @got.pierced @littletattoosstudio @nakedleatherworks @dokevishoes @lakone.coffee @maniq.panik1 #bodriecoffeefestival #bcf2023 #kitaterkoneksi #bodriepeople
fahmiadimara,post_069,"🌤️ Aksi Nyata Sekawan Bumi Jaga Alam di Hutan Wakaf YPM🌱 Setelah malam penuh inspirasi diisi dengan diskusi dan observasi, pagi ini kami lanjut dengan aksi konkret menjaga alam di Hutan Wakaf YPM! 🔧 Finishing maintenance pendopo shelter 🏗️ Lanjut pembangunan rumah pembibitan pohon di lokasi ke-2 🌱 Di sini, kami akan memproduksi bibit pohon rimba seperti: Trembesi, Beringin, Nangka, Kopi, Durian, dan masih banyak lagi Langkah kecil ini kami yakini sebagai bagian dari perjuangan panjang dan bentuk konsistensi kami dalam menjaga keseimbangan alam 🌳 Karena setiap pohon yang tumbuh adalah napas baru untuk generasi masa depan. Kalau kamu punya lahan, komunitas, atau sekadar semangat yang sama untuk merawat alam/hutan di sekitarmu — yuk bersama sama kita kolaborasi bareng Sekawan Bumi 💚 Langsung aja DM admin @sekawanbumi dan kita mulai dari hal kecil yang kita bisa lakukan ✊ #SekawanBumi #HutanWakafYPM #BibitPohon #RumahPembibitan #PerawatanHutan #JagaAlam #AksiNyata #KolaborasiHijau #TanamHarapan #HutanUntukMasaDepan #GerakanHijau"
fahmiadimara,post_070,"First time ke Korea bukan karena drama, bukan karena K-Drama atau K-Pop! Tapi karena satu kesempatan yang ngubah hidupku. Dari jadi fotografer & travel influencer, sampai akhirnya bisa eksplor Korea Selatan, dari makanan, budaya, sampai momen-momen unforgettable yang bikin aku jatuh cinta sama Korea 🇰🇷 Dan sekarang aku lagi berjuang buat balik lagi ke sana lewat program K-Influencer 2025! Yuk, ikuti perjalananku & jangan lupa dukung terus, siapa tahu next trip kita ke Korea bareng! Let’s experience Korea, together! 🇰🇷🇮🇩 @k_influencer_official @koreanet_official @kcc.id #KInfluencer2025 #KoreaVibes #IndonesiaKorea"
syaharanieptr,post_071,TOLONG😭
syaharanieptr,post_072,😔😔
syaharanieptr,post_073,harus disensor🙏🏻
syaharanieptr,post_074,creating memories🥹🤍
syaharanieptr,post_075,"In her own pace, with her own power. 📸 Featured muse: @syaharanieptr She Earns. She Leads. She Glows #BreadwinnerClub #BreadwinnerPhotobooth #MagazinePhotobooth #JakartaPhotobooth #PhotoboothBlokM"
janicesamanthaa,post_076,"kirain semua yg bikin trend ini bakal dapet douyin makeup, trnyata beda2 loh! 🤣 aku dapet igari makeup hihiiii 💘 #makeuptrend #igari #igarimakeup"
janicesamanthaa,post_077,🌴🥥🌺
janicesamanthaa,post_078,"BALI DAY 3! 🌼 selama di Bali makeupnya lebih bronzy, banyak pake wrna yg neutral-warm & highlighter ga boleh lupa!! products used: @dalba_indonesia white truffle first spray serum @skintificid perfect stay velvet matte cushion - 02 @luxcrime_id seamless liquid contour - hazelnut @fentybeauty match stix contour stick - amber @esqacosmetics wonder crush serum liquid blush - icons only @jacquelle_official slim brow - dark brown @diorbeauty glow face palette @judydollindonesia 2in1 highlighter contour palette 01 @amuse lip smudger - 02 rose @cliniqueindonesia almost lipstick - black honey @mop.beauty G.W.S - 01 MLBB #islandgirl #islandgirlmakeup #summermakeup #beachmakeup #grwm #makeuptutorial"
janicesamanthaa,post_079,"keracunan sama hairdryer di hotel Shanghai, pas balik indo langsung checkout @laifen.indonesia ternyata BAGUS BGTTTT 🥹🤍 ngeringin rambut jd super cepetttt apalagi rambut aku tebel poool hahaha"
dellaajocelyn,post_080,throwing up my ʚɞcamera rollᰔᩚ
dellaajocelyn,post_081,attached 5 images⋆˚✿˖°
dellaajocelyn,post_082,album: december🎞️♡
dellaajocelyn,post_083,happiest here₊˚⊹ ᰔ
dellaajocelyn,post_084,happy in a million little ways⸜(｡˃ ᵕ ˂ )⸝♡
rowieeka_,post_085,Penasaran sama kehidupan jadi Mahasiswa di Korea?😌 Hello semuanya👋🏻 jadi welcome ke page aku yang aku bakalan post banyakkk banget kehidupan sehari-hari aku di Korea sebagai murid di Hanyang University! Dari SENANGNYA✨ sampai REALITANYA😭 !! Semuanya akan aku kasih kalian tau!!! Hadi untuk kamu yang pengen datang sini untuk belajar disini ataupun travel! Pastiin Follow & Comment & Tanya apapun yang kamu mau nanya! Akan kubahas satu satu sebisa mungkin!!😆 Nice to Meet You! 또 만나요!!!! #rowiekorea #kuliahluarnegeri #korea #kuliahkeluarnegeri #kuliahdikorea #koreatravel #makanankorea #hanyanguniversity #kulinerkorea #koreatrip #kfood #ktrip #kdrama #kpop #kuniversiry #hanyanguniversity #한양대학교 #kaburajadulu
rowieeka_,post_086,"DEMI MAKAN INI, AKU HARUS LEWATI HUTAN DAN BADAI... 😭🌪️🌲🍜 #rowiekorea #beginilahrealitanya Enggak, ini bukan drama Korea... tapi literally kisahku demi semangkuk jajangmyeon legendaris yang katanya ”once you eat, you can’t forget.“ Tempat ini udah buka puluhan tahun, isinya cuma local ajumma-ajumma, dan nggak bisa delivery harus ke sana langsung. Masalahnya... tempatnya tuh bukan di tengah kota, tapi di balik bukit, harus jalan kaki dari halte terakhir, dan waktu aku ke sana... hujan, badai, angin topan level ’hati yang ditinggal pas lagi sayang-sayangnya‘. Aku sempet mikir, ”Ngapain sih, cuma demi mie hitam doang?“ TAPI PAS SUAPAN PERTAMA... AKU LANGSUNG DIAM. INI ENAK BANGET TERUTAMA yang suka SEAFOOD Kuah kentalnya tuh nggak terlalu manis, lebih ke gurih asin, irisan bawangnya banyak, seafood nya tuh bukan potongan kecil pelit, tapi full fullan! Dan mie-nya... kenyalnya tuh kaya hubungan yang sehat: nggak lembek, nggak keras, pas. Aku sampai mikir, mungkin badai itu adalah ujian... dan jajangmyeon ini hadiahnya. 🎖️ Kalau kamu suka jajangmyeon yang lebih traditional dan nggak terlalu instan vibes, you HAVE TO try this one. 📍 산타의 돌짜장 (Santa’s Dol Jjajang) 💸 20,000₩~ ( for 2 people portion ) . Follow aku buat rekomendasi makanan lokal Korea yang worth the struggle 🫶 #RowieEkaEats #ohmygyeonggi2025 #2025OMG #Gyeonggi_story #ohmygyeonggi #gyeonggido #JajangmyeonChallenge #MakanSampaiDapat #KFoodHunt #MieHitamLegend #간장계장 #양념게장#자짱면 #이천맛집 #icheonrestaurant #gyeonggido #icheon"
