username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
aurelvo_,Micro,INF014,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.81,False,Neutral,True,0.068,302712,4370128,1903484,True,0.59,False,skincare,33882,8089,251
fahmiadimara,Micro,INF015,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.88,True,Neutral,True,0.025,491430,5513524,8061690,False,0.52,True,fashion,7429,4132,117
syaharanieptr,Micro,INF016,['Milenial'],"['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.83,True,Positive,False,0.046,798042,4494155,4717139,True,0.31,True,fashion,17319,745,442
janicesamanthaa,Micro,INF017,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.71,False,Neutral,False,0.034,868997,5097712,2264655,False,0.21,True,fitness,7566,5892,67
dellajocelyn,Micro,INF018,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.9,True,Positive,True,0.02,368653,1024585,4807264,False,0.33,True,skincare,25533,4102,242
rowieeka_,Micro,INF019,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.78,True,Positive,False,0.077,758729,4625740,7902813,True,0.53,False,food,46012,3102,319
m.auliarhman,Micro,INF020,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.66,False,Positive,True,0.078,734305,1403379,1970729,True,0.43,True,lifestyle,40438,9659,296
mhumprey,Micro,INF021,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Humble,0.85,True,Neutral,True,0.062,537760,3633657,7494987,False,0.33,True,lifestyle,27025,3495,484
fernandofanlee,Micro,INF022,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.79,True,Positive,True,0.05,989544,7006071,3835324,False,0.45,False,skincare,24063,3507,103
iman.indonesia,Micro,INF023,['Milenial'],['Laki-laki'],Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Brave,0.61,False,Positive,True,0.068,675400,5242437,2817002,True,0.56,False,skincare,43854,6434,325
nitaoktarr,Micro,INF024,['Generasi Z'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.72,True,Positive,True,0.046,900549,6305142,9473904,False,0.21,False,food,47045,4761,79
tiffanyfani,Micro,INF025,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.79,True,Neutral,False,0.037,986071,1627537,7556456,True,0.42,True,food,48986,8234,257
ajengptrn,Micro,INF026,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Humble,0.69,False,Neutral,False,0.065,839292,7029217,9436580,False,0.28,False,food,35533,4585,102
jhonrchchristopher,Micro,INF027,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Humble,0.71,True,Neutral,False,0.067,726582,3482391,9213083,False,0.38,True,skincare,17002,3791,120
ryanwibawa,Micro,INF028,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Kreatif,0.63,True,Positive,False,0.067,710497,3433898,2113923,False,0.22,False,food,10044,8184,473
robby.firlian,Micro,INF029,['Generasi Z'],['Laki-laki'],Atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.67,True,Neutral,False,0.043,555214,3191620,2234460,False,0.43,False,lifestyle,46371,5497,57
annabellwijono,Micro,INF030,['Generasi Z'],['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.63,True,Neutral,False,0.018,520549,4731838,9997863,False,0.23,True,fashion,24239,7442,108
wilmpratamaa,Micro,INF031,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.76,True,Positive,True,0.044,868028,7063040,8693554,False,0.34,True,lifestyle,15055,4369,82
fuad.aliromadoni,Micro,INF032,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Brave,0.8,False,Positive,True,0.07,801702,5858709,8327215,False,0.53,False,fashion,5634,4773,482
jefdasilvaaa,Micro,INF033,['Milenial'],['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.65,True,Neutral,True,0.018,796123,2978527,7654312,True,0.27,False,fashion,38960,7089,118
halohilda_,Micro,INF034,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.67,True,Neutral,True,0.078,579337,6648250,3823088,False,0.45,True,skincare,17780,1431,250
najhytlby_,Micro,INF035,['Milenial'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.78,False,Neutral,True,0.03,926833,4989666,3792138,True,0.53,False,skincare,49585,2937,462
satasyaaa,Micro,INF036,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.7,True,Neutral,True,0.079,986585,2378584,1508122,False,0.24,True,lifestyle,29161,653,144
sarah.nuruli,Micro,INF037,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.69,False,Neutral,True,0.02,938031,6770273,4050595,False,0.36,True,lifestyle,11450,2253,51
heidyrezky,Micro,INF038,['Milenial'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.71,False,Neutral,False,0.067,310470,1098764,6846767,True,0.22,True,skincare,48233,3616,101
dr.farhanialhabsyi,Micro,INF039,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Humble,0.66,False,Neutral,True,0.063,509132,7438803,6571804,True,0.25,False,lifestyle,25821,4048,219
kinandaputriii,Micro,INF040,['Generasi Z'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.65,False,Neutral,False,0.022,525521,5667690,4866784,True,0.4,True,food,35390,3956,421
salsaaprtw,Micro,INF041,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.82,True,Positive,True,0.046,969178,4708318,2882278,True,0.56,True,fitness,26658,1737,363
khalisyarenata,Micro,INF042,['Milenial'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.65,False,Positive,False,0.035,784244,7444586,8532618,True,0.53,True,fashion,48756,7242,186
laurenzetira,Micro,INF043,['Milenial'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.76,False,Neutral,False,0.055,909595,5043635,5752336,True,0.34,True,lifestyle,31233,2865,67
great.ej,Micro,INF044,['Generasi Z'],['Perempuan'],Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.91,False,Neutral,True,0.028,835309,7666810,6028736,False,0.38,False,food,38971,1462,182
raflihidayatulloh,Micro,INF045,['Generasi Z'],"['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.8,False,Neutral,False,0.032,537492,7178945,1802171,False,0.36,False,fitness,48754,6088,359
agangani94,Micro,INF046,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Kreatif,0.86,True,Neutral,True,0.023,593782,1136527,4009489,False,0.59,True,fitness,6283,3954,53
kennygerald,Micro,INF047,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.94,False,Neutral,False,0.016,505732,2795559,7655571,True,0.21,True,fitness,42434,3579,58
gervasius123,Micro,INF048,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Kreatif,0.86,False,Neutral,True,0.07,340956,1342164,3019354,False,0.47,True,fitness,6081,1144,359
lucky_n00b.oc,Micro,INF049,['Milenial'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.9,True,Neutral,True,0.048,695593,1812797,2093882,False,0.53,False,lifestyle,46132,5116,187
stjka_,Micro,INF050,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.68,False,Neutral,False,0.058,664600,6805351,9690359,True,0.57,False,food,23481,1352,275
rayhan.fadillah,Micro,INF051,['Generasi Z'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.85,True,Neutral,False,0.017,970622,4213673,3070777,False,0.51,True,food,12205,2785,167
rahmat._17,Micro,INF052,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Humble,0.65,True,Neutral,False,0.061,609109,1365266,9657390,True,0.51,True,fitness,18846,4003,485
kiararindani,Micro,INF053,['Generasi Z'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.72,True,Neutral,False,0.063,356920,2077061,1571309,False,0.4,False,skincare,48106,1553,193
andhirashafirly,Micro,INF054,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.83,False,Neutral,False,0.047,872144,4280726,8494923,False,0.55,False,food,27788,6046,199
raniashafira,Micro,INF055,['Milenial'],['Laki-laki'],Atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Kreatif,0.71,True,Neutral,True,0.055,777424,1926746,5469720,False,0.52,True,food,24668,6875,84
raniazzhr,Micro,INF056,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Kreatif,0.75,True,Neutral,True,0.044,861138,1474774,2755762,False,0.27,False,fitness,13148,7619,126
bncbs,Micro,INF057,['Milenial'],['Laki-laki'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.61,False,Positive,True,0.07,527543,7600813,6417049,False,0.55,False,fitness,37942,3452,298
lindawidyaa,Mid,INF058,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.72,False,Neutral,True,0.033,414683,5949884,7186426,True,0.59,True,fitness,13512,5079,473
rizkyfadillah_21,Mid,INF059,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.93,False,Positive,False,0.029,532342,1070309,9889473,True,0.55,True,fashion,19422,7219,333
felicia.herianto,Mid,INF060,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.69,True,Neutral,True,0.042,338892,4281706,2305095,False,0.21,True,fitness,37713,5281,57
arvhiehanafi,Mid,INF061,['Generasi Z'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Kreatif,0.67,False,Positive,True,0.032,588923,1164790,2434978,True,0.36,False,lifestyle,8870,2277,290
ibrokumar,Mid,INF062,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Brave,0.82,False,Neutral,False,0.05,574374,4204521,1672809,True,0.54,False,food,19677,8006,138
keitavanya,Mid,INF063,['Milenial'],"['Perempuan', 'Laki-laki']",Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Humble,0.78,False,Neutral,False,0.057,993347,1049133,2287665,False,0.54,True,fitness,26242,3749,78
irma.iryanto3,Mid,INF064,['Generasi Z'],['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Kreatif,0.74,False,Neutral,True,0.047,913275,1234931,2311685,False,0.24,False,skincare,34434,1464,413
luckyoetama,Mid,INF065,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.83,True,Positive,False,0.028,667669,3405819,6736442,False,0.2,True,skincare,9059,5381,152
shalfaptr,Mid,INF066,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.81,False,Neutral,False,0.058,659951,1963369,5108021,True,0.5,False,food,34795,4943,202
dianandach,Mid,INF067,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.88,True,Neutral,True,0.026,548145,3075722,8094676,True,0.43,False,fitness,39092,2980,88
hirataandrea,Mid,INF068,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.73,True,Positive,True,0.077,673525,1205051,8600326,True,0.3,True,lifestyle,17158,4192,54
jax.andersen,Mid,INF069,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.66,False,Neutral,False,0.019,784649,4101366,8205584,False,0.59,False,fashion,41923,2464,266
shazfa.adesya,Mid,INF070,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.85,False,Positive,True,0.026,899573,3815064,3071493,True,0.28,False,fashion,8903,635,205
nikyrputra,Mid,INF071,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.65,False,Positive,True,0.036,613998,4386417,2781253,True,0.41,True,fashion,48431,6722,51
cccookie_cia,Mid,INF072,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.94,True,Positive,False,0.016,516377,6429144,9924968,False,0.38,True,fashion,25380,8632,177
zikrimubarak_,Mid,INF073,['Milenial'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.92,True,Neutral,True,0.015,504870,3440090,8472596,True,0.22,False,fashion,17344,4827,202
rrafelo,Mid,INF074,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.64,True,Neutral,False,0.051,675264,3575624,4757770,True,0.42,True,food,29574,7278,317
naufalltannaz,Mid,INF075,['Milenial'],"['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.95,False,Positive,False,0.08,693803,6681034,3293794,False,0.51,True,food,28839,4248,382
dolly_siregar,Mid,INF076,['Generasi Z'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Fun', 'Energetic']",Humble,0.69,False,Positive,False,0.05,753316,1830239,7237146,False,0.31,False,lifestyle,28893,3789,461
arzkeys,Mid,INF077,['Generasi Z'],['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.9,True,Positive,True,0.057,368381,2176663,3820760,True,0.32,False,skincare,27717,4796,198
fauzanjabir,Mid,INF078,['Milenial'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.75,False,Neutral,False,0.048,790100,1487418,8377480,True,0.52,False,fashion,22272,3713,468
fajrin.rz,Mid,INF079,['Generasi Z'],"['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.9,False,Positive,False,0.042,546419,7306267,6289544,False,0.58,True,fitness,21145,1055,158
deanandaps_,Mid,INF080,['Generasi Z'],"['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.87,False,Positive,True,0.073,582563,1083142,4168862,False,0.48,True,fashion,16256,8161,470
ginasihlaa_,Mid,INF081,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.76,True,Neutral,True,0.062,827629,5473440,5838796,True,0.46,False,lifestyle,36122,8144,76
olviapayten,Mid,INF082,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.8,True,Positive,False,0.059,938482,2763782,2211245,True,0.33,False,lifestyle,34915,6683,237
dindarimby,Mid,INF083,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Humble,0.7,False,Neutral,False,0.054,731483,1953026,9837978,True,0.41,False,skincare,39049,6674,367
algianti_,Mid,INF084,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.92,False,Neutral,True,0.079,642899,7998723,8970764,True,0.22,False,fashion,21614,1961,255
rivaldosutanto,Mid,INF085,['Generasi Z'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.76,False,Neutral,True,0.04,693908,7010287,9098816,True,0.32,False,lifestyle,28036,5168,124
stellangelaa,Mid,INF086,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.68,False,Positive,True,0.054,390511,2205086,9222319,True,0.52,False,fashion,49090,9954,97
anastasiayasmeen,Mid,INF087,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.7,False,Neutral,False,0.078,519868,7768485,6630622,True,0.54,True,fitness,46045,2180,123
kyukyuchuuu,Mid,INF088,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.9,False,Neutral,True,0.022,742515,4865413,3707404,True,0.34,True,lifestyle,29577,7272,445
vanny.skuy,Mid,INF089,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Kreatif,0.86,True,Positive,False,0.068,454297,5982531,6878444,True,0.34,False,fashion,33295,7049,77
lisaayukw,Mid,INF090,['Generasi Z'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.93,False,Neutral,False,0.026,820834,2332926,4087900,True,0.3,False,fashion,30421,1521,348
dejanfz,Mid,INF091,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.65,True,Positive,False,0.072,612550,4328285,9940824,True,0.35,True,lifestyle,6955,998,397
rendytoys,Mid,INF092,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.71,False,Positive,False,0.019,966664,1563670,1881317,False,0.24,True,skincare,16367,5097,256
nuhevita,Mid,INF093,['Generasi Z'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.75,True,Positive,True,0.055,460389,3027512,4323435,False,0.38,True,fashion,27247,7324,228
dinar.amanda,Mid,INF094,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.66,False,Neutral,False,0.051,418956,1062228,2891644,False,0.38,False,fitness,39197,3401,169
andaws,Mid,INF095,['Milenial'],['Perempuan'],Menengah,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.81,True,Positive,True,0.03,564192,2781792,9079525,True,0.59,True,fitness,34390,1791,412
adindarizkyana_,Mid,INF096,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.77,True,Positive,True,0.026,301843,2894282,8875918,True,0.33,False,fitness,6932,5598,87
maurashafa,Mid,INF097,['Generasi Z'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.66,True,Positive,False,0.072,313877,7626564,7047716,True,0.4,True,fitness,25379,2555,305
nabilahrdz,Mid,INF098,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.73,True,Neutral,False,0.065,368987,4294801,7371995,True,0.34,False,fashion,6225,6993,135
oktaridevira,Mid,INF099,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.84,False,Positive,False,0.04,811462,5408690,1635949,True,0.57,False,food,7888,7113,283
_dindayasmin,Mid,INF100,['Generasi Z'],"['Perempuan', 'Laki-laki']",Atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,False,Neutral,True,0.042,374767,3066025,4669667,True,0.53,False,fitness,13882,8047,281
phoni8,Mid,INF101,['Milenial'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Fun', 'Energetic']",Brave,0.62,True,Neutral,False,0.067,637327,3334224,4302365,True,0.53,False,skincare,42479,8650,131
mandycj,Mid,INF102,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.79,False,Neutral,False,0.018,557306,2794946,2697022,False,0.41,False,fitness,37250,3382,115
shanikancita,Mid,INF103,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.6,False,Neutral,True,0.064,719586,5361102,9358866,True,0.54,True,fashion,39198,3198,67
queenetey,Mid,INF104,['Generasi Z'],"['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.8,True,Positive,True,0.079,508889,7301971,5102422,False,0.55,False,food,21767,1369,489
niloverjudge,Mid,INF105,['Generasi Z'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.84,False,Neutral,True,0.02,718674,5201227,7916759,False,0.36,True,food,26795,2236,136
heyitsriellaa,Mid,INF106,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.65,False,Positive,False,0.064,834390,1943846,7082099,True,0.24,True,lifestyle,11145,3901,488
niritafaradillaa,Mid,INF107,['Milenial'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.68,False,Neutral,True,0.033,841121,2344037,3013688,True,0.47,False,skincare,36652,7788,320
salsabillakei,Mid,INF108,['Generasi Z'],['Perempuan'],Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.92,False,Neutral,True,0.078,414850,1810663,5997893,False,0.6,True,lifestyle,49511,2172,401
