brand,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
indomie,-0.014225608,-0.05527767,0.13479632,-0.045327622,0.011925358,0.08693637,-0.12040283,0.11643814,0.21254408,0.13997462,-0.073019095,-0.16974436,-0.104750544,0.2668379,-0.10034066,0.019762166,-0.16807376,-0.04607544,0.023111325,0.06032787,0.060427193,0.027626295,-0.27111742,-0.035900526,0.013377946,0.015292423,0.12046989,-0.19458483,-0.10985224,-0.020027127,-0.042169366,0.04319667,-0.107710995,0.01399431,0.111603394,0.10406372,-0.14410613,0.04177355,0.11528068,-0.18106808,-0.26816338,-0.14597183,-0.15802205,0.14407225,0.11790752,0.03854142,0.13817933,-0.121906236,0.18511716,0.09546828,0.17221604,0.044858776,0.032790773,-0.09512618,-0.09095923,-0.05824043,0.11025528,-0.1254324,0.03917627,0.042866558,0.022349386,-0.0007803665,0.15635645,0.112330936,brand
mie sedaap,0.0286687,-0.009127696,-0.024837602,-0.05204343,-0.017716568,-0.010228923,-0.08781353,0.102657,0.07935563,0.0744292,-0.047906265,-0.026699305,-0.06282054,0.14801136,-0.038174175,0.030394798,-0.05432042,-0.02738009,-0.020537283,-0.034026675,0.02141638,0.08217648,-0.11914058,0.004781841,0.036548346,0.046285138,0.06030912,-0.1269159,0.0018999274,0.061385997,0.02807384,-0.0007003031,0.00869988,0.061541367,0.09611635,-0.024826493,-0.08983726,0.08494589,0.07353777,-0.13190585,-0.23170225,-0.07018883,-0.07033597,0.07352561,0.04569254,0.044228062,0.063293464,-0.017374316,0.14245294,0.07059386,0.09808362,0.0353126,0.11457498,0.026977573,-0.049947254,0.011837495,0.04547552,-0.05463342,-0.11540759,-0.0052810246,-0.07355365,0.018279046,0.084113955,0.0796345,brand
pop mie,0.082810074,-0.01338253,-0.3261606,-0.062025696,0.001713998,-0.17092067,-0.07696034,0.018490547,-0.18350473,0.113512486,0.13730803,0.1607346,-0.069029525,-0.07586546,0.053031944,0.1776028,0.14558902,0.08033203,0.10490569,-0.14914168,0.03948921,0.12856397,0.00881951,-0.050158136,0.09827146,0.09834496,-0.024879754,0.14333302,0.05215161,0.092710294,0.104955375,0.06896727,0.20363449,0.012601079,0.07011681,-0.1968922,-0.24066591,0.05735207,0.077937506,-0.058005445,-0.050109465,0.12524614,0.09576268,-0.08738406,0.077809125,-0.07006152,-0.017510826,0.18686953,-0.08275113,0.14866632,0.22972551,-0.051458597,0.10409036,0.056693416,-0.040289834,0.13277209,-0.010516796,0.07093485,-0.33480817,-0.02574674,-0.08748235,0.10405344,-0.115578145,-0.08593235,brand
sosro,-0.048684128,-0.03245969,0.042418912,-0.0039396365,-0.007804935,-0.021797592,-0.092949346,0.11045952,0.13939105,0.10056631,-0.011124767,-0.11332516,-0.058448885,0.16961998,-0.012006467,0.04601042,-0.08151899,-0.07023177,0.01711057,0.013059452,0.065242276,0.06947793,-0.1337232,-0.043982886,0.028879292,0.019221563,0.06307493,-0.15347771,-0.035097905,-0.009280655,-0.053429276,0.042587996,-0.035183795,0.070664674,0.064698145,0.03492003,-0.052322842,-0.022334624,0.0353634,-0.1426026,-0.2067211,-0.058346126,-0.04554636,0.09847757,0.09674894,0.049049884,0.072639465,-0.07141763,0.1114053,0.029001996,0.15074334,0.08259794,0.026899882,0.018045701,-0.050161384,0.032700494,0.09377131,-0.01784978,0.012552554,0.032935128,-0.061659314,0.0026736911,0.11671789,0.14452696,brand
frestea,0.16372529,-0.0038684215,-0.3527792,-0.056980785,0.007631938,-0.1500752,-0.084703766,0.0006485147,-0.1886001,0.078619905,0.051732287,0.1968376,-0.07711977,-0.09945732,0.07083519,0.118969075,0.16017526,0.10267979,0.06423048,-0.20539439,0.021678124,0.14031513,-0.008129053,-0.044700317,0.11420523,0.08762999,-0.03885439,0.15245946,0.06802054,0.12271885,0.19322097,0.062983476,0.16768873,0.028935488,0.0985153,-0.21639025,-0.23393284,0.13778403,0.1218451,-0.023376364,-0.08214815,0.100031234,0.07982812,-0.1153834,0.014498154,-0.08086803,-0.033905268,0.15376887,-0.05720239,0.18056741,0.15268934,-0.08426252,0.15472682,0.07858732,-0.058638256,0.1413345,-0.05098097,0.05108291,-0.41229644,-0.07789287,-0.0888413,0.086599536,-0.08904576,-0.113127835,brand
aqua,0.015241115,-0.04969796,0.12732312,-0.055188432,0.009738988,0.09835196,-0.12286021,0.114885926,0.20889208,0.12596238,-0.10394856,-0.14847577,-0.106438056,0.2689709,-0.1071262,0.0014112425,-0.16785519,-0.036880564,0.0011856516,0.042940937,0.047212616,0.031113703,-0.2758243,-0.020108467,0.014733253,0.01758234,0.121127754,-0.19821304,-0.09990823,0.00027421492,-0.010066526,0.027504046,-0.11158663,0.01608628,0.12400402,0.090995386,-0.14742288,0.08271037,0.13187933,-0.1783116,-0.28712416,-0.16085415,-0.1742927,0.13891606,0.09484773,0.041549034,0.13667668,-0.1227132,0.2071692,0.10766916,0.14217553,0.03306981,0.06514595,-0.09066625,-0.09411855,-0.06563948,0.09388236,-0.14170562,0.004490011,0.026493575,0.01887561,-0.0027492247,0.1594267,0.09987915,brand
le minerale,0.008407239,-0.021453397,0.06569058,-0.011315319,-0.011536249,0.019757478,-0.10354607,0.11374011,0.17034823,0.06789563,-0.10725525,-0.10134089,-0.06333693,0.19434763,-0.023093466,-0.018104065,-0.103309065,-0.0672077,-0.04167565,-0.014123442,0.03912283,0.07161747,-0.16275889,-0.016153479,0.027381605,0.009471495,0.070525564,-0.18892989,-0.024601623,0.018257376,0.009726521,0.011215443,-0.07882303,0.08629614,0.091835156,0.032328274,-0.034966163,0.059259944,0.07046653,-0.13667035,-0.2627306,-0.111331046,-0.09496904,0.101266176,0.04086089,0.06399856,0.07409184,-0.110449664,0.1787116,0.045879625,0.06902245,0.0677273,0.08671625,0.024584368,-0.061958984,0.012285402,0.06623991,-0.057632558,-0.02834041,-0.0044856872,-0.065115556,-0.016593656,0.15769133,0.14365943,brand
ultra milk,0.028781787,-0.010856474,0.032198768,-0.037969645,-0.018618621,0.018633978,-0.0964506,0.11288178,0.13517267,0.061489813,-0.09827098,-0.06217614,-0.06266552,0.18373832,-0.04157764,-0.008605681,-0.089346096,-0.048712272,-0.047868706,-0.025852334,0.021090265,0.076378174,-0.14759202,0.005504356,0.029505726,0.02774611,0.07124567,-0.17472571,-0.008369327,0.0492813,0.029252596,-0.0068217483,-0.04215381,0.07663904,0.10275033,0.005503099,-0.056666628,0.0924708,0.077552006,-0.13859999,-0.26541126,-0.10825221,-0.09848121,0.09446815,0.031491566,0.06179239,0.07316291,-0.07010561,0.18232349,0.0586955,0.06271066,0.051365606,0.11783305,0.024730582,-0.05698155,0.00050158665,0.050853126,-0.07131915,-0.07838857,-0.009949189,-0.07000396,-0.0019691666,0.13079634,0.11418076,brand
sariwangi,-0.06822492,-0.039493993,0.095281884,0.016054371,-0.004450639,-0.006640562,-0.10038976,0.11867216,0.1905446,0.10263017,-0.035109133,-0.16021252,-0.05826524,0.19887555,-0.0072807167,0.025080293,-0.11192331,-0.094119236,0.010629587,0.03380629,0.07586151,0.06264874,-0.1559344,-0.054354917,0.020830836,0.00050493656,0.071732074,-0.18872905,-0.052044466,-0.03677565,-0.07446907,0.05019441,-0.080288306,0.081700146,0.059166677,0.070909865,-0.021898914,-0.044282775,0.029289389,-0.14824548,-0.220557,-0.07977841,-0.058766283,0.1183753,0.100853674,0.060377352,0.08191738,-0.11869643,0.1299994,0.012372244,0.14366421,0.10252182,0.004045979,0.013303384,-0.05437802,0.02904875,0.10949771,-0.019136438,0.06969504,0.039142508,-0.056627765,-0.015499689,0.15492569,0.1814498,brand
good day,-0.017227685,-0.0013668156,0.048673995,-0.07683094,-0.033032455,0.02170169,-0.081123754,0.13484862,0.12780748,0.08324922,-0.036134504,-0.07029496,-0.054157004,0.21463993,-0.09156449,0.030598465,-0.109288216,-0.052921735,-0.03211692,0.028113045,0.008835756,0.06861522,-0.128104,0.029871803,0.011117153,0.05151371,0.094878554,-0.19444786,-0.010058295,0.05402755,-0.02839652,-0.025879623,0.00869175,0.055618636,0.09982678,0.02058177,-0.06951201,0.06766306,0.048477158,-0.17346817,-0.2626234,-0.11065702,-0.10634175,0.12811053,0.0661627,0.07743959,0.09595065,-0.014034184,0.19059798,0.03992378,0.10349092,0.0653346,0.10552474,2.6577196e-05,-0.037937343,-0.039530106,0.07338804,-0.086626604,-0.049546145,0.02865155,-0.069515705,0.017701223,0.098615095,0.12154177,brand
kopi kapal api,-0.027053434,-0.033741564,0.10666986,0.014802981,-0.0059303753,0.018639851,-0.10814586,0.11800499,0.2092207,0.07938722,-0.10052279,-0.14924808,-0.061533384,0.21042606,-0.009329902,-0.018425355,-0.12253745,-0.090759166,-0.028212763,0.010382427,0.060601026,0.0655963,-0.1748904,-0.039659087,0.02167746,-0.007437027,0.073209696,-0.2080779,-0.044748522,-0.01907783,-0.02800465,0.032420576,-0.11100696,0.09353989,0.0772509,0.06686485,-0.011251586,0.0097944755,0.053649362,-0.14111395,-0.2558092,-0.11254664,-0.087895006,0.11571498,0.062334422,0.06819716,0.079791024,-0.1467234,0.17052263,0.025307983,0.08835666,0.0917581,0.043685343,0.019818757,-0.063679606,0.02092877,0.089411676,-0.042215295,0.03880722,0.011703668,-0.05867088,-0.028752387,0.18222204,0.1799298,brand
torabika,0.10660622,-0.02494096,-0.33600044,-0.011281077,0.019082166,-0.1828131,-0.09194382,-0.005815041,-0.17043714,0.102914214,0.09901359,0.145777,-0.07704432,-0.11097585,0.11393608,0.15036386,0.16746649,0.078343466,0.109047174,-0.19030689,0.06371367,0.13070941,-0.009166513,-0.093491375,0.119999126,0.070025615,-0.04966906,0.16800413,0.04595784,0.06716849,0.13940743,0.105309896,0.15307501,0.030880086,0.06386721,-0.19888848,-0.2216185,0.047117032,0.09415746,-0.02691917,-0.03361033,0.14184831,0.11996507,-0.11837427,0.05711651,-0.09394256,-0.03991416,0.12425557,-0.11224727,0.15737906,0.21168432,-0.05652701,0.084422246,0.08086336,-0.05680233,0.18082094,-0.017826384,0.10371201,-0.33461452,-0.051078625,-0.08393162,0.08383536,-0.08452348,-0.084253296,brand
nescafe,-0.027632322,-0.02339013,0.10861842,-0.011719374,-0.015054479,0.029126272,-0.101738706,0.12795162,0.2018522,0.07933876,-0.09256999,-0.13788182,-0.059001215,0.22544715,-0.03878449,-0.013183761,-0.13100922,-0.08591001,-0.03641043,0.023252897,0.043656886,0.06356643,-0.1683462,-0.016469495,0.0146907065,0.0062256083,0.085192405,-0.2199218,-0.03777668,-0.0010211251,-0.031966083,0.011302359,-0.087341234,0.084800445,0.08559388,0.06418297,-0.019562323,0.027879681,0.051615484,-0.15521863,-0.26790726,-0.124104574,-0.10339561,0.12819126,0.061161216,0.07755087,0.08938663,-0.118906766,0.1901651,0.024984455,0.085128196,0.08925979,0.061856676,0.011000913,-0.056581877,-0.0044233035,0.08828272,-0.061890353,0.026200665,0.018002074,-0.06075941,-0.02004252,0.16908197,0.17363119,brand
cimory,-0.020920534,-0.020069186,0.09376119,-0.02063661,-0.017702816,0.02667284,-0.09854728,0.12685242,0.18646854,0.07675241,-0.08581036,-0.12192259,-0.05839157,0.2189301,-0.044305917,-0.0074059274,-0.123626284,-0.078715675,-0.036955714,0.01758804,0.03817066,0.065736435,-0.16126747,-0.0102692265,0.016344607,0.013359994,0.08415513,-0.21250513,-0.031568713,0.010407612,-0.02542847,0.0061539277,-0.071688026,0.081093796,0.08921221,0.052887116,-0.028610095,0.03779346,0.05316837,-0.1555345,-0.2667482,-0.12036227,-0.10172221,0.12443925,0.059174504,0.07580255,0.08814939,-0.102526054,0.18784505,0.029451936,0.08490719,0.083677724,0.07231829,0.011636313,-0.05467598,-0.006615064,0.082760334,-0.06508575,0.0071147913,0.016698591,-0.062411837,-0.013526637,0.15731394,0.16210343,brand
greenfields,-0.1463385,-0.057287306,0.084550604,0.04151178,0.0048143556,-0.058368176,-0.09512773,0.115847975,0.17193905,0.14268437,0.07566012,-0.19589838,-0.054542996,0.17311344,0.016773265,0.097486965,-0.092135884,-0.109719634,0.08663542,0.06666473,0.117741644,0.056850165,-0.13070288,-0.09824467,0.0263362,0.0014066494,0.06423257,-0.15510434,-0.07114369,-0.086125225,-0.15815422,0.09681598,-0.048129793,0.06778841,0.020574793,0.08301467,-0.028967328,-0.15953512,-0.013783805,-0.15682858,-0.15185495,-0.014801992,0.0023013095,0.117933154,0.17316402,0.04260409,0.082997024,-0.09565848,0.046195578,-0.016293246,0.24373117,0.13017644,-0.08020717,0.008152621,-0.042688273,0.06183932,0.14964168,0.03684462,0.14483675,0.08692281,-0.05270582,0.0015196851,0.12088038,0.19672902,brand
so nice,0.027183976,-0.007816773,-0.007972218,-0.053695954,-0.0205147,-0.00023923814,-0.08822717,0.10793019,0.09349471,0.07016705,-0.05824989,-0.034131825,-0.0615529,0.16153815,-0.04616815,0.02174325,-0.06637384,-0.032972477,-0.02960682,-0.028397728,0.018172352,0.08040911,-0.12500863,0.009645347,0.032815535,0.044391133,0.066043586,-0.14381298,0.00036479955,0.06191256,0.025710365,-0.006531858,0.00046352635,0.06389535,0.09983266,-0.016582103,-0.08201097,0.08927384,0.07275402,-0.1377329,-0.2436584,-0.08322813,-0.08062441,0.08302076,0.04295581,0.05151859,0.06864745,-0.025588734,0.15693334,0.06602822,0.088489756,0.04063882,0.118751794,0.024183705,-0.050050624,0.003198962,0.04721054,-0.06366411,-0.10645658,-0.0039007033,-0.072747126,0.015188798,0.09408425,0.08865665,brand
tango,-0.023853045,-0.016387336,0.10358861,-0.029520247,-0.021503404,0.034327336,-0.09693174,0.13277166,0.19179264,0.07658985,-0.086770296,-0.12414414,-0.05710549,0.2307869,-0.057202466,-0.008972489,-0.13270137,-0.080412194,-0.042365834,0.026514618,0.032002132,0.063821316,-0.16211289,-0.0012186564,0.011882519,0.016417218,0.09110519,-0.22418037,-0.031012902,0.01443776,-0.030104546,-0.0024876301,-0.06851058,0.07910114,0.09254214,0.057541728,-0.02727899,0.043077216,0.051360823,-0.16304627,-0.27510393,-0.12968382,-0.111262426,0.13344604,0.058888607,0.08212354,0.094098255,-0.097783476,0.20038234,0.026593748,0.08144379,0.085850306,0.07748792,0.006874677,-0.05225169,-0.018876625,0.08458207,-0.07458025,0.010288499,0.020371523,-0.06255664,-0.012577342,0.15784821,0.165474,brand
silverqueen,0.022059694,-0.018138582,-0.055134192,-0.03353761,-0.009823238,-0.03760191,-0.08781901,0.088851884,0.056309886,0.08244997,-0.018311026,-0.020698447,-0.06377581,0.11416085,-0.009427559,0.05174896,-0.027197309,-0.022387084,0.0060308813,-0.047603145,0.039758295,0.08615165,-0.10751392,-0.020789277,0.047348067,0.043790806,0.043478183,-0.091189586,-4.68691e-05,0.048460547,0.023920827,0.024727395,0.018091775,0.060478345,0.083839916,-0.03673872,-0.09938726,0.05468323,0.06794818,-0.11803694,-0.19878203,-0.035680257,-0.03615798,0.052133508,0.05986957,0.02642018,0.04996653,-0.0123762265,0.09725371,0.07296923,0.12595914,0.033609442,0.09076297,0.035250172,-0.051606216,0.04276437,0.047582995,-0.024419785,-0.11698688,-0.003376758,-0.07258779,0.023450004,0.06877904,0.07049725,brand
chitato,-0.021354726,-0.015372091,0.0571578,-0.03916631,-0.020971447,0.011605794,-0.090215504,0.124085866,0.14698613,0.08362131,-0.049573354,-0.09393295,-0.05724915,0.20091769,-0.053249087,0.020261697,-0.10370968,-0.06360788,-0.022590654,0.01573356,0.032292947,0.06889002,-0.1402978,-0.0023718653,0.018879618,0.030686177,0.08117925,-0.1864922,-0.022023868,0.02587016,-0.027824217,0.002163475,-0.029210126,0.06847353,0.08834067,0.031232618,-0.053025484,0.039435048,0.049444005,-0.15688914,-0.2497203,-0.09961584,-0.088649236,0.115870014,0.06835821,0.06811823,0.0852859,-0.058122918,0.16867119,0.036470875,0.106330335,0.07308844,0.07789144,0.010356667,-0.04753891,-0.008054471,0.078677915,-0.061740503,-0.02184749,0.022378583,-0.065553725,0.0034271025,0.122204244,0.137339,brand
qtela,0.08482008,-0.035519835,-0.33003914,0.012333274,0.024412138,-0.19773856,-0.095217064,-0.011299896,-0.16249,0.108647674,0.116313696,0.12585083,-0.07624551,-0.11889968,0.13627434,0.16110078,0.1724775,0.068186864,0.1276048,-0.18955013,0.083290115,0.12788337,-0.0094632795,-0.118291855,0.12492964,0.06091132,-0.057060264,0.17517456,0.036820315,0.04301762,0.12068702,0.12610945,0.14342734,0.03367146,0.050033003,-0.19184405,-0.21440521,0.008096196,0.08336735,-0.02644672,-0.013359712,0.15982893,0.14054322,-0.122293554,0.07317707,-0.10140704,-0.044193342,0.107297316,-0.13883045,0.14736956,0.23362225,-0.043691866,0.05446104,0.084758714,-0.05671561,0.20182663,-0.0057306215,0.12717497,-0.3028752,-0.041607965,-0.08060452,0.08195567,-0.0805534,-0.07175596,brand
